Week,Opponent,Start,SuccPlays,PI,FailPlays,TotPlays,SuccRate,SuccYards,FailYards,TotYards,SYardsPerP,FYardsPerP,YardsPerP,PassSuccPlays,PassFailPlays,PassTotPlays,PassSuccYards,PassFailYards,PassTotYards,PassSuccRate,PSuccYPP,PFailYPP,PYPP
1,Lions,Yes,16.0,1.0,8.0,24.0,0.68,201.0,-15.0,186.0,8.375,-0.625,7.75,15.0,6.0,21.0,195.0,3.0,198.0,0.7142857142857143,9.285714285714286,0.14285714285714285,9.428571428571429
2,Dolphins,Yes,19.0,0.0,27.0,46.0,0.41304347826086957,317.0,4.0,321.0,6.891304347826087,0.08695652173913043,6.978260869565218,19.0,22.0,41.0,317.0,17.0,334.0,0.4634146341463415,7.7317073170731705,0.4146341463414634,8.146341463414634
3,Browns,Yes,13.0,0.0,20.0,33.0,0.3939393939393939,168.0,-7.0,161.0,5.090909090909091,-0.21212121212121213,4.878787878787879,13.0,18.0,31.0,168.0,1.0,169.0,0.41935483870967744,5.419354838709677,0.03225806451612903,5.451612903225806
4,Jaguars,Yes,14.0,0.0,26.0,40.0,0.35,154.0,-2.0,152.0,3.85,-0.05,3.8,13.0,21.0,34.0,151.0,16.0,167.0,0.38235294117647056,4.4411764705882355,0.47058823529411764,4.911764705882353
5,Broncos,Yes,10.0,0.0,15.0,25.0,0.4,197.0,-2.0,195.0,7.88,-0.08,7.8,8.0,14.0,22.0,191.0,7.0,198.0,0.36363636363636365,8.681818181818182,0.3181818181818182,9.0
6,Colts,Yes,23.0,0.0,11.0,34.0,0.6764705882352942,275.0,3.0,278.0,8.088235294117647,0.08823529411764706,8.176470588235293,21.0,8.0,29.0,264.0,16.0,280.0,0.7241379310344828,9.10344827586207,0.5517241379310345,9.655172413793103
7,Vikings,Yes,16.0,0.0,35.0,51.0,0.3137254901960784,196.0,14.0,210.0,3.843137254901961,0.27450980392156865,4.117647058823529,12.0,30.0,42.0,178.0,28.0,206.0,0.2857142857142857,4.238095238095238,0.6666666666666666,4.904761904761905
8,Bears,Yes,13.0,0.0,22.0,35.0,0.37142857142857144,162.0,10.0,172.0,4.628571428571429,0.2857142857142857,4.914285714285715,11.0,18.0,29.0,147.0,6.0,153.0,0.3793103448275862,5.068965517241379,0.20689655172413793,5.275862068965517
9,Dolphins,Yes,15.0,0.0,29.0,44.0,0.3409090909090909,193.0,15.0,208.0,4.386363636363637,0.3409090909090909,4.7272727272727275,15.0,24.0,39.0,193.0,36.0,229.0,0.38461538461538464,4.948717948717949,0.9230769230769231,5.871794871794871
14,Bills,Yes,12.0,0.0,13.0,25.0,0.48,153.0,26.0,179.0,6.12,1.04,7.16,12.0,12.0,24.0,153.0,17.0,170.0,0.5,6.375,0.7083333333333334,7.083333333333333
15,Texans,Yes,24.0,0.0,23.0,47.0,0.5106382978723404,264.0,-1.0,263.0,5.617021276595745,-0.02127659574468085,5.595744680851064,20.0,18.0,38.0,230.0,23.0,253.0,0.5263157894736842,6.052631578947368,0.6052631578947368,6.657894736842105
16,Packers,Yes,25.0,0.0,15.0,40.0,0.625,344.0,-17.0,327.0,8.6,-0.425,8.175,24.0,11.0,35.0,341.0,0.0,341.0,0.6857142857142857,9.742857142857142,0.0,9.742857142857142
