Week,Opponent,Start,SuccPlays,PI,FailPlays,TotPlays,SuccRate,SuccYards,FailYards,TotYards,SYardsPerP,FYardsPerP,YardsPerP,PassSuccPlays,PassFailPlays,PassTotPlays,PassSuccYards,PassFailYards,PassTotYards,PassSuccRate,PSuccYPP,PFailYPP,PYPP
3,NY Jets,No,15.0,0.0,10.0,25.0,0.6,195.0,0.0,195.0,7.8,0.0,7.8,14.0,9.0,23.0,193.0,8.0,201.0,0.6086956521739131,8.391304347826088,0.34782608695652173,8.73913043478261
4,Raiders,Yes,19.0,1.0,28.0,47.0,0.4166666666666667,294.0,-6.0,288.0,6.25531914893617,-0.1276595744680851,6.127659574468085,17.0,24.0,41.0,283.0,12.0,295.0,0.4146341463414634,6.902439024390244,0.2926829268292683,7.195121951219512
5,Ravens,Yes,20.0,0.0,29.0,49.0,0.40816326530612246,324.0,3.0,327.0,6.612244897959184,0.061224489795918366,6.673469387755102,18.0,24.0,42.0,301.0,41.0,342.0,0.42857142857142855,7.166666666666667,0.9761904761904762,8.142857142857142
6,Chargers,Yes,22.0,0.0,32.0,54.0,0.4074074074074074,238.0,-14.0,224.0,4.407407407407407,-0.25925925925925924,4.148148148148148,20.0,26.0,46.0,234.0,4.0,238.0,0.43478260869565216,5.086956521739131,0.08695652173913043,5.173913043478261
7,Buccaneers,Yes,17.0,1.0,26.0,43.0,0.4090909090909091,208.0,21.0,229.0,4.837209302325581,0.4883720930232558,5.325581395348837,16.0,18.0,34.0,173.0,42.0,215.0,0.47058823529411764,5.088235294117647,1.2352941176470589,6.323529411764706
8,Steelers,Yes,15.0,2.0,25.0,40.0,0.40476190476190477,178.0,-6.0,172.0,4.45,-0.15,4.3,14.0,22.0,36.0,169.0,11.0,180.0,0.3888888888888889,4.694444444444445,0.3055555555555556,5.0
9,Chiefs,Yes,21.0,0.0,26.0,47.0,0.44680851063829785,270.0,5.0,275.0,5.74468085106383,0.10638297872340426,5.851063829787234,21.0,21.0,42.0,270.0,27.0,297.0,0.5,6.428571428571429,0.6428571428571429,7.071428571428571
10,Falcons,Yes,19.0,0.0,7.0,26.0,0.7307692307692307,237.0,1.0,238.0,9.115384615384615,0.038461538461538464,9.153846153846153,16.0,4.0,20.0,215.0,1.0,216.0,0.8,10.75,0.05,10.8
12,Bengals,Yes,19.0,0.0,9.0,28.0,0.6785714285714286,260.0,-5.0,255.0,9.285714285714286,-0.17857142857142858,9.107142857142858,18.0,8.0,26.0,255.0,3.0,258.0,0.6923076923076923,9.807692307692308,0.11538461538461539,9.923076923076923
13,Texans,Yes,25.0,1.0,17.0,42.0,0.6046511627906976,387.0,10.0,397.0,9.214285714285714,0.23809523809523808,9.452380952380953,25.0,16.0,41.0,387.0,10.0,397.0,0.6097560975609756,9.439024390243903,0.24390243902439024,9.682926829268293
14,Panthers,Yes,9.0,0.0,16.0,25.0,0.36,208.0,28.0,236.0,8.32,1.12,9.44,9.0,13.0,22.0,208.0,30.0,238.0,0.4090909090909091,9.454545454545455,1.3636363636363635,10.818181818181818
15,Broncos,Yes,18.0,0.0,18.0,36.0,0.5,191.0,-12.0,179.0,5.305555555555555,-0.3333333333333333,4.972222222222222,16.0,15.0,31.0,179.0,9.0,188.0,0.5161290322580645,5.774193548387097,0.2903225806451613,6.064516129032258
16,Bengals,Yes,22.0,0.0,18.0,40.0,0.55,275.0,28.0,303.0,6.875,0.7,7.575,20.0,17.0,37.0,257.0,27.0,284.0,0.5405405405405406,6.945945945945946,0.7297297297297297,7.675675675675675
