Quarter,Time,Down,ToGo,Location,Detail,ATL,CLE,EPB,EPA
1,15:00,,,ATL 35,Matthew Bosher kicks off 62 yards returned by Dontrell Hilliard for 20 yards (tackle by Justin Bethel),0,0,0.000,-0.480
1,14:55,1,10,CLE 23,Baker Mayfield pass complete short right to Jarvis Landry for 12 yards (tackle by Desmond Trufant),0,0,0.480,1.270
1,14:17,1,10,CLE 35,Nick Chubb left tackle for 5 yards (tackle by De'Vondre Campbell),0,0,1.270,1.400
1,13:41,2,5,CLE 40,Nick Chubb left guard for 4 yards (tackle by Grady Jarrett),0,0,1.400,1.220
1,13:00,3,1,CLE 44,Nick Chubb middle for no gain (tackle by Brian Poole and Duke Riley). Penalty on Baker Mayfield: Illegal Motion (Declined),0,0,1.220,-0.460
1,12:14,4,1,CLE 44,Britton Colquitt punts 37 yards fair catch by Justin Hardy,0,0,-0.460,-0.150
1,12:07,1,10,ATL 19,Tevin Coleman right tackle for 2 yards (tackle by Joe Schobert),0,0,0.150,-0.060
1,11:38,2,8,ATL 21,Matt Ryan pass complete short left to Austin Hooper for 10 yards (tackle by Damarious Randall),0,0,-0.060,1.000
1,11:00,1,10,ATL 31,Tevin Coleman for 16 yards (tackle by Damarious Randall),0,0,1.000,2.060
1,10:22,1,10,ATL 47,Matt Ryan pass complete short right to Austin Hooper for 5 yards (tackle by Jabrill Peppers),0,0,2.060,2.190
1,9:48,2,5,CLE 48,Matt Ryan pass incomplete short left intended for Calvin Ridley,0,0,2.190,1.490
1,9:44,3,5,CLE 48,Matt Ryan pass incomplete short right intended for Mohamed Sanu,0,0,1.490,0.070
1,9:38,4,5,CLE 48,Matthew Bosher punts 36 yards fair catch by Jabrill Peppers,0,0,0.070,0.350
1,9:31,1,10,CLE 12,Baker Mayfield pass complete deep right to Breshad Perriman for 16 yards,0,0,-0.350,0.810
1,8:57,1,10,CLE 28,Nick Chubb left tackle for 2 yards (tackle by De'Vondre Campbell and Jack Crawford),0,0,0.810,0.530
1,8:15,2,8,CLE 30,Baker Mayfield pass complete short middle to David Njoku for 18 yards (tackle by De'Vondre Campbell and Damontae Kazee),0,0,0.530,2.130
