Quarter,Time,Down,ToGo,Location,Detail,CAR,CLE,EPB,EPA
1,15:00,,,CLE 35,Greg Joseph kicks off 61 yards returned by Kenjon Barner for 31 yards (tackle by Greg Joseph),0,0,0.000,-1.270
1,14:54,1,10,CAR 35,Christian McCaffrey left tackle for 5 yards (tackle by Myles Garrett),0,0,1.270,1.400
1,14:20,2,5,CAR 40,Cam Newton pass complete deep left to Curtis Samuel for 25 yards (tackle by T.J. Carrie),0,0,1.400,3.250
1,13:39,1,10,CLE 35,Christian McCaffrey left guard for 2 yards (tackle by Myles Garrett),0,0,3.250,2.970
1,13:06,2,8,CLE 33,Cam Newton pass complete short right to Christian McCaffrey for 4 yards (tackle by Damarious Randall),0,0,2.970,2.810
1,12:38,3,4,CLE 29,Cam Newton pass complete short middle to Ian Thomas for 4 yards (tackle by Damarious Randall),0,0,2.810,3.910
1,11:53,1,10,CLE 25,Penalty on D.J. Moore: False Start 5 yards (no play),0,0,3.910,3.580
1,11:31,1,15,CLE 30,Christian McCaffrey left end for no gain (tackle by Genard Avery and T.J. Carrie),0,0,3.580,2.690
1,10:44,2,15,CLE 30,Cam Newton pass complete short left to Christian McCaffrey for 6 yards (tackle by Jamie Collins),0,0,2.690,2.810
1,10:07,3,9,CLE 24,Cam Newton pass complete short left to Christian McCaffrey for 20 yards (tackle by Jabrill Peppers),0,0,2.810,6.280
1,9:25,1,4,CLE 4,Cam Newton pass incomplete short left intended for D.J. Moore,0,0,6.280,5.340
1,9:21,2,4,CLE 4,Christian McCaffrey left guard for 4 yards touchdown,6,0,5.340,7.000
1,9:17,,,CLE 15,Chandler Catanzaro kicks extra point good,7,0,0.000,0.000
1,9:17,,,CAR 35,Chandler Catanzaro kicks off 65 yards touchback,7,0,0.000,-0.610
1,9:17,1,10,CLE 25,Baker Mayfield pass complete deep left to Breshad Perriman for 66 yards (tackle by Donte Jackson),7,0,0.610,5.140
1,8:29,1,9,CAR 9,Nick Chubb right guard for 3 yards (tackle by James Bradberry and Eric Reid),7,0,5.140,4.950
1,7:48,2,6,CAR 6,Baker Mayfield pass incomplete short middle intended for Jarvis Landry. Penalty on Mario Addison: Defensive Offside 3 yards (no play),7,0,4.950,5.530
1,7:44,2,3,CAR 3,Jarvis Landry right tackle for 3 yards touchdown,7,6,5.530,7.000
1,7:41,,,CAR 15,Greg Joseph kicks extra point good,7,7,0.000,0.000
