Quarter,Time,Down,ToGo,Location,Detail,NYJ,BUF,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 62 yards returned by Isaiah McKenzie for 24 yards (tackle by Darryl Roberts),0,0,0.000,-0.740
1,14:53,1,10,BUF 27,Josh Allen pass complete short right to Zay Jones for 5 yards (tackle by Trumaine Johnson). Penalty on Dion Dawkins: Chop Block 10 yards (no play),0,0,0.740,-0.170
1,14:29,1,20,BUF 17,Josh Allen pass complete short right to Robert Foster for 18 yards (tackle by Neville Hewitt),0,0,-0.170,1.280
1,13:50,2,2,BUF 35,LeSean McCoy middle for 1 yard (tackle by Mike Pennel and Steve McLendon),0,0,1.280,0.700
1,13:18,3,1,BUF 36,Josh Allen middle for 8 yards (tackle by Avery Williamson),0,0,0.700,1.860
1,12:39,1,10,BUF 44,Josh Allen pass incomplete,0,0,1.860,1.320
1,12:32,2,10,BUF 44,Josh Allen left guard for 31 yards (tackle by Buster Skrine),0,0,1.320,3.910
1,11:48,1,10,NYJ 25,Josh Allen pass incomplete short left intended for LeSean McCoy,0,0,3.910,3.360
1,11:44,2,10,NYJ 25,Josh Allen left guard for 3 yards (tackle by Leonard Williams),0,0,3.360,3.070
1,11:00,3,7,NYJ 22,Josh Allen pass complete short right to Marcus Murphy for 8 yards (tackle by Henry Anderson),0,0,3.070,4.650
1,10:20,1,10,NYJ 14,Isaiah McKenzie left tackle for 2 yards (tackle by Brandon Copeland and Avery Williamson). Penalty on Jordan Jenkins: Unnecessary Roughness 6 yards,0,0,4.650,5.830
1,9:56,1,6,NYJ 6,LeSean McCoy middle for no gain (tackle by Leonard Williams),0,0,5.830,4.950
1,9:19,2,6,NYJ 6,Josh Allen right tackle for 6 yards touchdown,0,6,4.950,7.000
1,9:12,,,NYJ 15,Stephen Hauschka kicks extra point good,0,7,0.000,0.000
1,9:12,,,BUF 35,Stephen Hauschka kicks off 50 yards returned by Andre Roberts for 26 yards. Penalty on Eric Tomlinson: Unnecessary Roughness 14 yards,0,7,0.000,0.280
1,9:05,1,10,NYJ 14,Isaiah Crowell right tackle for no gain (tackle by TreDavious White),0,7,-0.280,-0.750
