Quarter,Time,Down,ToGo,Location,Detail,CLE,DEN,EPB,EPA
1,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,DEN 25,Phillip Lindsay left guard for no gain (tackle by Myles Garrett),0,0,0.610,0.060
1,14:35,2,10,DEN 25,Case Keenum sacked by Jamie Collins for -8 yards,0,0,0.060,-1.930
1,13:59,3,18,DEN 17,Case Keenum pass complete short right to Phillip Lindsay for -5 yards (tackle by Joe Schobert),0,0,-1.930,-2.490
1,13:22,4,23,DEN 12,Colby Wadman punts 40 yards returned by Jabrill Peppers for 1 yard (tackle by Joseph Jones),0,0,-2.490,-2.190
1,13:12,1,10,CLE 49,Baker Mayfield pass complete short left to Jarvis Landry for 19 yards (tackle by Darian Stewart),0,0,2.190,3.450
1,12:41,1,10,DEN 32,Nick Chubb middle for 1 yard (tackle by Darian Stewart and Domata Peko),0,0,3.450,3.040
1,12:03,2,9,DEN 31,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Bradley Roby),0,0,3.040,2.340
1,11:59,3,9,DEN 31,Baker Mayfield pass complete deep right to Breshad Perriman for 31 yards touchdown,6,0,2.340,7.000
1,11:49,,,DEN 15,Greg Joseph kicks extra point good,7,0,0.000,0.000
1,11:49,,,CLE 35,Greg Joseph kicks off 65 yards touchback,7,0,0.000,-0.610
1,11:49,1,10,DEN 25,Phillip Lindsay right guard for 1 yard (tackle by Genard Avery),7,0,0.610,0.200
1,11:13,2,9,DEN 26,Case Keenum pass incomplete short right intended for Phillip Lindsay,7,0,0.200,-0.490
1,11:07,3,9,DEN 26,Case Keenum pass incomplete short middle intended for Phillip Lindsay,7,0,-0.490,-1.630
1,11:01,4,9,DEN 26,Colby Wadman punts 38 yards,7,0,-1.630,-1.330
1,10:51,1,10,CLE 36,Nick Chubb middle for 3 yards (tackle by Bradley Chubb),7,0,1.330,1.200
1,10:12,2,7,CLE 39,Baker Mayfield pass incomplete short right intended for Duke Johnson,7,0,1.200,0.500
1,10:08,3,7,CLE 39,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,7,0,0.500,-0.780
1,10:04,4,7,CLE 39,Britton Colquitt punts 49 yards fair catch by River Cracraft,7,0,-0.780,0.350
1,9:55,1,10,DEN 12,Case Keenum pass incomplete short right intended for Matt LaCosse (defended by Jamie Collins). Penalty on Jared Veldheer: Unnecessary Roughness 6 yards (no play),7,0,-0.350,-0.610
1,9:51,1,16,DEN 6,Royce Freeman middle for -1 yards (tackle by Chris Smith and Trevon Coley),7,0,-0.610,-1.290
1,9:11,2,17,DEN 5,Case Keenum pass complete short right to Tim Patrick for 11 yards (tackle by Terrance Mitchell),7,0,-1.290,-0.950
1,8:36,3,6,DEN 16,Case Keenum pass complete short right to Tim Patrick for 15 yards,7,0,-0.950,1.000
1,8:15,1,10,DEN 31,Case Keenum pass incomplete short middle intended for DaeSean Hamilton (defended by Chris Smith),7,0,1.000,0.460
1,8:11,2,10,DEN 31,Case Keenum pass complete short right to Courtland Sutton for 2 yards (tackle by Jamie Collins). Penalty on Jamie Collins: Lowering the Head to Initiate Contact 15 yards,7,0,0.460,2.130
1,7:42,1,10,DEN 48,Case Keenum pass complete short right to Brian Parker for 7 yards (tackle by Jabrill Peppers),7,0,2.130,2.530
1,7:05,2,3,CLE 45,Phillip Lindsay left end for -7 yards (tackle by Jamie Collins),7,0,2.530,0.890
1,6:25,3,10,DEN 48,Case Keenum pass complete short right to Matt LaCosse for 11 yards (tackle by Genard Avery),7,0,0.890,2.850
1,5:47,1,10,CLE 41,Phillip Lindsay middle for 11 yards (tackle by Damarious Randall),7,0,2.850,3.580
1,5:25,1,10,CLE 30,Case Keenum pass complete short right to Phillip Lindsay for 2 yards (tackle by Jamie Collins),7,0,3.580,3.300
1,4:50,2,8,CLE 28,Case Keenum pass incomplete deep right intended for Courtland Sutton (defended by Terrance Mitchell). Penalty on Terrance Mitchell: Defensive Pass Interference 25 yards (no play),7,0,3.300,6.510
