Quarter,Time,Down,ToGo,Location,Detail,HOU,NYJ,EPB,EPA
1,15:00,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,NYJ 25,Elijah McGuire right end for -1 yards (tackle by D.J. Reader and Johnathan Joseph),0,0,0.610,-0.070
1,14:19,2,11,NYJ 24,Elijah McGuire left guard for -1 yards (tackle by Jadeveon Clowney),0,0,-0.070,-0.890
1,13:43,3,12,NYJ 23,Sam Darnold sacked by J.J. Watt for -10 yards,0,0,-0.890,-2.490
1,13:02,4,22,NYJ 13,Lac Edwards punts 44 yards returned by DeAndre Carter for -2 yards (tackle by Trenton Cannon),0,0,-2.490,-1.660
1,12:54,1,10,HTX 41,Lamar Miller middle for 5 yards (tackle by Steve McLendon),0,0,1.660,1.800
1,12:26,2,5,HTX 46,Deshaun Watson right end for 24 yards (tackle by Darryl Roberts),0,0,1.800,3.580
1,11:57,1,10,NYJ 30,Deshaun Watson pass incomplete short right intended for DeAndre Carter,0,0,3.580,3.030
1,11:52,2,10,NYJ 30,Deshaun Watson pass complete deep right to DeAndre Hopkins for 18 yards (tackle by Trumaine Johnson),0,0,3.030,4.780
1,11:22,1,10,NYJ 12,Lamar Miller left tackle for 2 yards (tackle by Mike Pennel),0,0,4.780,4.450
1,10:50,2,8,NYJ 10,Lamar Miller right guard for 1 yard (tackle by Henry Anderson and Neville Hewitt),0,0,4.450,3.700
1,10:15,3,7,NYJ 9,Deshaun Watson sacked by Henry Anderson for -13 yards,0,0,3.700,1.990
1,9:27,4,20,NYJ 22,Ka'imi Fairbairn 41 yard field goal good,3,0,1.990,3.000
1,9:23,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,3,0,0.000,-0.610
1,9:23,1,10,NYJ 25,Sam Darnold pass incomplete. Penalty on Jadeveon Clowney: Roughing the Passer 15 yards (no play),3,0,0.610,1.600
1,9:17,1,10,NYJ 40,Elijah McGuire right guard for 5 yards (tackle by Justin Reid and Tyrann Mathieu),3,0,1.600,1.730
