Quarter,Time,Down,ToGo,Location,Detail,CIN,CLE,EPB,EPA
1,15:00,,,CIN 35,Randy Bullock kicks off 63 yards returned by Jabrill Peppers for 27 yards (tackle by Brandon Bell). Penalty on CLE: Unnecessary Roughness 12 yards,0,0,0.000,0.350
1,14:55,1,10,CLE 12,Baker Mayfield pass incomplete deep right intended for David Njoku,0,0,-0.350,-0.780
1,14:50,2,10,CLE 12,Baker Mayfield pass complete short middle to Duke Johnson for 21 yards (tackle by Geno Atkins),0,0,-0.780,1.140
1,14:03,1,10,CLE 33,Nick Chubb left guard for 5 yards (tackle by Vontaze Burfict),0,0,1.140,1.270
1,13:20,2,5,CLE 38,Baker Mayfield pass incomplete short left intended for Nick Chubb,0,0,1.270,0.560
1,13:16,3,5,CLE 38,Baker Mayfield pass complete short left to Duke Johnson for 4 yards (tackle by Jessie Bates),0,0,0.560,-0.590
1,12:34,4,1,CLE 42,Nick Chubb left guard for 5 yards (tackle by Nick Vigil and Hardy Nickerson). Penalty on CLE: Illegal Shift 5 yards (no play),0,0,-0.590,-0.910
1,12:13,4,6,CLE 37,Britton Colquitt punts 41 yards fair catch by Alex Erickson,0,0,-0.910,-0.410
1,12:13,1,10,CIN 22,Jeff Driskel right end for 15 yards,0,0,0.410,1.400
1,11:30,1,10,CIN 37,Joe Mixon left guard for 6 yards (tackle by Jamie Collins),0,0,1.400,1.670
1,10:53,2,4,CIN 43,Joe Mixon left end for no gain (tackle by Myles Garrett),0,0,1.670,0.960
1,10:15,3,4,CIN 43,Jeff Driskel left end for 3 yards (tackle by Myles Garrett and Jabrill Peppers),0,0,0.960,-0.320
1,9:46,4,1,CIN 46,Clayton Fejedelem middle for 6 yards (tackle by Jermaine Whitehead),0,0,-0.320,2.390
1,8:59,1,10,CLE 48,Jeff Driskel pass complete short left to Giovani Bernard for 4 yards (tackle by Terrance Mitchell),0,0,2.390,2.390
1,8:22,2,6,CLE 44,Joe Mixon left tackle for 2 yards (tackle by Larry Ogunjobi),0,0,2.390,1.950
1,7:41,3,4,CLE 42,Jeff Driskel sacked by Joe Schobert for -8 yards. Jeff Driskel fumbles (forced by Joe Schobert) recovered by Giovani Bernard,0,0,1.950,-0.060
1,7:04,4,12,50,Kevin Huber punts 35 yards fair catch by Antonio Callaway,0,0,-0.060,0.220
1,6:58,1,10,CLE 15,Nick Chubb left guard for 1 yard (tackle by Andrew Billings and Carlos Dunlap),0,0,-0.220,-0.580
1,6:21,2,9,CLE 16,Baker Mayfield pass complete deep left to Rashard Higgins for 17 yards (tackle by William Jackson). Penalty on Carlos Dunlap: Defensive Offside (Declined),0,0,-0.580,1.140
1,5:56,1,10,CLE 33,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,0,0,1.140,0.590
1,5:52,2,10,CLE 33,Nick Chubb right guard for 2 yards (tackle by Michael Johnson and Vontaze Burfict),0,0,0.590,0.170
1,5:07,3,8,CLE 35,Baker Mayfield pass complete deep right to Rashard Higgins for 55 yards (tackle by Jessie Bates). Penalty on Rashard Higgins: Offensive Pass Interference 10 yards (no play),0,0,0.170,-1.150
1,4:32,3,18,CLE 25,Baker Mayfield pass incomplete short middle intended for Jarvis Landry,0,0,-1.150,-1.700
1,4:29,4,18,CLE 25,Britton Colquitt punts 47 yards returned by Alex Erickson for 2 yards (tackle by Tavierre Thomas),0,0,-1.700,-0.940
1,4:21,1,10,CIN 30,John Ross right end for 7 yards (tackle by Denzel Ward),0,0,0.940,1.340
1,3:46,2,3,CIN 37,Joe Mixon right tackle for -6 yards (tackle by Genard Avery and Chris Smith),0,0,1.340,-0.160
1,3:04,3,9,CIN 31,Jeff Driskel pass incomplete short right intended for Cody Core,0,0,-0.160,-1.310
1,2:55,4,9,CIN 31,Kevin Huber punts 50 yards returned by Jabrill Peppers for 7 yards (tackle by Clayton Fejedelem),0,0,-1.310,-0.670
1,2:43,1,10,CLE 26,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,0,0,0.670,0.130
1,2:40,2,10,CLE 26,Nick Chubb left tackle for 22 yards (tackle by Shawn Williams),0,0,0.130,2.130
1,2:03,1,10,CLE 48,Jarvis Landry left end for 6 yards (tackle by Dre Kirkpatrick),0,0,2.130,2.390
1,1:30,2,4,CIN 46,Nick Chubb right guard for 7 yards (tackle by Nick Vigil),0,0,2.390,2.980
1,0:47,1,10,CIN 39,Baker Mayfield pass complete short middle to David Njoku for 4 yards (tackle by Nick Vigil),0,0,2.980,2.980
2,15:00,2,6,CIN 35,Baker Mayfield pass complete short right to Rashard Higgins for 11 yards (tackle by Darius Phillips),0,0,2.980,3.970
2,14:19,1,10,CIN 24,Baker Mayfield pass complete short left to Rashard Higgins for 4 yards (tackle by Jessie Bates and Darqueze Dennard),0,0,3.970,3.970
2,13:41,2,6,CIN 20,Baker Mayfield for 1 yard (tackle by Nick Vigil),0,0,3.970,3.410
2,13:06,3,5,CIN 19,Baker Mayfield pass complete short right to Duke Johnson for 4 yards (tackle by Jessie Bates),0,0,3.410,2.590
