Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
1,15:00,,,GNB 35,Mason Crosby kicks off 60 yards returned by Andre Roberts for 27 yards (tackle by Natrell Jamerson),0,0,0.000,-1.070
1,14:55,1,10,NYJ 32,Sam Darnold pass complete short left to Robby Anderson for 12 yards (tackle by Jaire Alexander),0,0,1.070,1.860
1,14:20,1,10,NYJ 44,Elijah McGuire left guard for 10 yards (tackle by Bashaud Breeland),0,0,1.860,2.520
1,13:39,1,10,GNB 46,Sam Darnold pass complete deep right to Christopher Herndon for 26 yards (tackle by Kentrell Brice),0,0,2.520,4.240
1,12:56,1,10,GNB 20,Elijah McGuire middle for 2 yards (tackle by Tyler Lancaster),0,0,4.240,3.960
1,12:16,2,8,GNB 18,Sam Darnold sacked by Kyler Fackrell for -10 yards,0,0,3.960,1.950
1,11:31,3,18,GNB 28,Sam Darnold pass incomplete deep right intended for Elijah McGuire (defended by Josh Jones),0,0,1.950,1.590
1,11:23,4,18,GNB 28,Jason Myers 45 yard field goal no good,0,0,1.590,-1.270
1,11:19,1,10,GNB 35,Aaron Rodgers pass incomplete short left intended for Davante Adams,0,0,1.270,0.720
1,11:15,2,10,GNB 35,Jamaal Williams middle for 19 yards (tackle by Jamal Adams and Darryl Roberts),0,0,0.720,2.520
1,10:38,1,10,NYJ 46,Aaron Rodgers sacked by Leonard Williams for -10 yards,0,0,2.520,0.630
1,9:55,2,20,GNB 44,Aaron Rodgers pass complete short left to Equanimeous St. Brown for 4 yards (tackle by Buster Skrine),0,0,0.630,0.500
1,9:14,3,16,GNB 48,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,0,0,0.500,-0.190
1,9:08,4,16,GNB 48,JK Scott punts 37 yards returned by Andre Roberts for 40 yards (tackle by JK Scott). Penalty on Anthony Wint: Illegal Block Above the Waist 10 yards,0,0,-0.190,0.060
1,8:54,1,10,NYJ 17,Sam Darnold pass complete short middle to Robby Anderson for 16 yards (tackle by Jaire Alexander),0,0,-0.060,1.140
