Quarter,Time,Down,ToGo,Location,Detail,ATL,PHI,EPB,EPA
1,15:00,,,PHI 35,Jake Elliott kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,ATL 25,Penalty on Logan Paulsen: False Start 5 yards (no play),0,0,0.610,0.280
1,15:00,1,15,ATL 20,Matt Ryan pass complete short right to Julio Jones for 10 yards (tackle by Malcolm Jenkins),0,0,0.280,0.740
1,14:22,2,5,ATL 30,Julio Jones left end for 11 yards (tackle by Derek Barnett),0,0,0.740,1.660
1,13:46,1,10,ATL 41,Devonta Freeman right end for 20 yards (tackle by Malcolm Jenkins),0,0,1.660,2.980
1,13:10,1,10,PHI 39,Matt Ryan pass incomplete short right intended for Calvin Ridley,0,0,2.980,2.440
1,13:05,2,10,PHI 39,Matt Ryan pass incomplete short left intended for Devonta Freeman,0,0,2.440,1.750
1,13:01,3,10,PHI 39,Matt Ryan pass complete deep left to Julio Jones for 33 yards (tackle by Ronald Darby),0,0,1.750,5.830
1,12:15,1,6,PHI 6,Devonta Freeman middle for 5 yards (tackle by Rodney McLeod and Sidney Jones),0,0,5.830,5.910
1,11:41,2,1,PHI 1,Devonta Freeman left guard for no gain (tackle by Fletcher Cox and Derek Barnett),0,0,5.910,5.170
1,10:59,3,1,PHI 1,Matt Ryan pass incomplete short right intended for Devonta Freeman,0,0,5.170,3.550
1,10:55,4,1,PHI 1,Devonta Freeman left end for -1 yards (tackle by Kamu Grugier-Hill and Jordan Hicks),0,0,3.550,0.380
1,10:51,1,10,PHI 2,Darren Sproles middle for 2 yards (tackle by Keanu Neal),0,0,-0.380,-0.630
1,10:10,2,8,PHI 4,Nick Foles pass complete short left to Nelson Agholor for 4 yards (tackle by Robert Alford),0,0,-0.630,-0.720
1,9:24,3,4,PHI 8,Nick Foles pass incomplete short left intended for Darren Sproles (defended by Ricardo Allen),0,0,-0.720,-2.490
1,9:20,4,4,PHI 8,Cameron Johnston punts 56 yards returned by Justin Hardy for 5 yards (tackle by Kamu Grugier-Hill). Penalty on Shelton Gibson: Unsportsmanlike Conduct 15 yards,0,0,-2.490,-2.650
1,9:08,1,10,PHI 44,Matt Ryan pass incomplete deep left intended for Mohamed Sanu,0,0,2.650,2.110
1,9:02,2,10,PHI 44,Tevin Coleman left guard for 5 yards (tackle by Jalen Mills),0,0,2.110,2.080
1,8:24,3,5,PHI 39,Matt Ryan right end for 6 yards (tackle by Sidney Jones),0,0,2.080,3.380
1,7:38,1,10,PHI 33,Tevin Coleman for -3 yards (tackle by Ronald Darby),0,0,3.380,2.430
1,7:01,2,13,PHI 36,Matt Ryan pass complete short left to Tevin Coleman for 26 yards (tackle by Rodney McLeod),0,0,2.430,4.910
1,6:19,1,10,PHI 10,Matt Ryan pass complete short left to Austin Hooper for 3 yards (tackle by Nathan Gerry),0,0,4.910,4.760
,,,,,PHI challenged the pass completion ruling and the play was upheld.,,,,
1,5:38,2,7,PHI 7,Matt Ryan pass incomplete,0,0,4.760,3.810
