Quarter,Time,Down,ToGo,Location,Detail,CIN,IND,EPB,EPA
1,15:00,,,CLT 35,Rigoberto Sanchez kicks off 63 yards returned by Alex Erickson for 28 yards,0,0,0.000,-0.940
1,14:53,1,10,CIN 30,Joe Mixon middle for 7 yards (tackle by Darius Leonard),0,0,0.940,1.340
1,14:11,2,3,CIN 37,Andy Dalton pass incomplete short left intended for Joe Mixon is intercepted by Kenny Moore at CIN-39 and returned for 32 yards,0,0,1.340,-5.600
1,14:01,1,7,CIN 7,Jordan Wilkins left end for 3 yards (tackle by Nick Vigil and Geno Atkins),0,0,5.600,5.340
1,13:23,2,4,CIN 4,Andrew Luck pass incomplete short left intended for Nyheim Hines (defended by William Jackson). Penalty on Quenton Nelson: Offensive Holding 10 yards (no play),0,0,5.340,3.580
1,13:18,2,14,CIN 14,Andrew Luck pass incomplete short left intended for Jack Doyle is intercepted by Preston Brown at CIN-5 and returned for 2 yards,0,0,3.580,0.380
1,13:10,1,10,CIN 7,Joe Mixon right guard for 4 yards (tackle by Darius Leonard),0,0,-0.380,-0.490
1,12:32,2,6,CIN 11,Andy Dalton pass complete short right to Tyler Eifert for 29 yards (tackle by Malik Hooker),0,0,-0.490,1.600
1,11:55,1,10,CIN 40,Joe Mixon left end for 7 yards (tackle by Darius Leonard),0,0,1.600,2.000
1,11:17,2,3,CIN 47,Andy Dalton pass complete short left to Joe Mixon for 21 yards (tackle by Clayton Geathers),0,0,2.000,3.450
1,10:37,1,10,CLT 32,Joe Mixon left end for 5 yards (tackle by Skai Moore),0,0,3.450,3.580
1,9:58,2,5,CLT 27,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Nate Hairston),0,0,3.580,4.110
1,9:20,1,10,CLT 22,Giovani Bernard right end for -2 yards (tackle by Al-Quadin Muhammad and Al Woods),0,0,4.110,3.290
1,8:35,2,12,CLT 24,Andy Dalton pass incomplete deep right intended for John Ross,0,0,3.290,2.610
1,8:30,3,12,CLT 24,Andy Dalton pass incomplete short middle intended for Tyler Boyd (defended by Jabaal Sheard),0,0,2.610,1.870
1,8:25,4,12,CLT 24,Randy Bullock 42 yard field goal good,3,0,1.870,3.000
1,8:20,,,CIN 35,Randy Bullock kicks off 65 yards touchback,3,0,0.000,-0.610
1,8:20,1,10,CLT 25,Andrew Luck pass complete short right to Ryan Grant for 3 yards (tackle by Dre Kirkpatrick),3,0,0.610,0.470
1,7:45,2,7,CLT 28,Jordan Wilkins left guard for 12 yards (tackle by Jessie Bates),3,0,0.470,1.600
1,7:09,1,10,CLT 40,Andrew Luck pass complete short right to Ryan Grant for 6 yards (tackle by Preston Brown),3,0,1.600,1.860
1,6:40,2,4,CLT 46,Jordan Wilkins middle for 2 yards (tackle by Shawn Williams),3,0,1.860,1.420
1,6:03,3,2,CLT 48,Andrew Luck pass complete short middle to Chester Rogers for 8 yards (tackle by Preston Brown),3,0,1.420,2.650
1,5:27,1,10,CIN 44,Andrew Luck pass complete short right to Chester Rogers for 3 yards (tackle by Jessie Bates),3,0,2.650,2.520
1,4:51,2,7,CIN 41,Andrew Luck pass complete short middle to Ryan Grant for 13 yards (tackle by Shawn Williams),3,0,2.520,3.710
1,4:17,1,10,CIN 28,Jordan Wilkins left tackle for 3 yards (tackle by Ryan Glasgow),3,0,3.710,3.570
1,3:45,2,7,CIN 25,Jordan Wilkins left guard for no gain (tackle by Jordan Evans and Andrew Billings),3,0,3.570,2.870
1,3:10,3,7,CIN 25,Andrew Luck left end for 7 yards (tackle by Michael Johnson). Penalty on Shawn Williams: Disqualification 9 yards,3,0,2.870,5.140
1,2:49,1,9,CIN 9,Andrew Luck pass incomplete short middle intended for Eric Ebron,3,0,5.140,4.380
1,2:44,2,9,CIN 9,Andrew Luck pass complete short left to Jordan Wilkins for 8 yards (tackle by William Jackson),3,0,4.380,5.170
1,2:06,3,1,CIN 1,Jordan Wilkins middle for -2 yards (tackle by Geno Atkins and Jordan Evans),3,0,5.170,3.040
1,1:27,,,,Timeout #1 by Cincinnati Bengals,3,0,,
1,1:27,4,3,CIN 3,Adam Vinatieri 21 yard field goal good,3,3,3.040,3.000
1,1:23,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,3,3,0.000,-0.610
1,1:23,1,10,CIN 25,Andy Dalton pass complete short right to Joe Mixon for 8 yards (tackle by Nate Hairston),3,3,0.610,1.140
1,0:58,2,2,CIN 33,Andy Dalton pass complete short right to Tyler Kroft for 9 yards (tackle by Anthony Walker and Darius Leonard),3,3,1.140,1.730
1,0:11,1,10,CIN 42,Andy Dalton pass complete short left to A.J. Green for 13 yards (tackle by Matthias Farley). A.J. Green fumbles (forced by Matthias Farley) recovered by Darius Leonard at IND-42 (tackle by Tyler Boyd),3,3,1.730,-1.730
1,0:04,1,10,CLT 42,Andrew Luck pass complete short left to T.Y. Hilton for 7 yards,3,3,1.730,2.130
2,15:00,2,3,CLT 49,Nyheim Hines right end for 4 yards (tackle by Jessie Bates),3,3,2.130,2.460
2,14:27,1,10,CIN 47,Jordan Wilkins right end for 2 yards (tackle by Jordan Evans). Penalty on Eric Ebron: Offensive Holding 10 yards (no play),3,3,2.460,1.800
2,14:04,1,20,CLT 43,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by Darqueze Dennard),3,3,1.800,0.560
2,13:59,2,20,CLT 43,Andrew Luck pass complete short left to Eric Ebron for 12 yards (tackle by Preston Brown),3,3,0.560,1.490
2,13:31,3,8,CIN 45,Andrew Luck pass complete short right to T.Y. Hilton for 13 yards (tackle by Jessie Bates),3,3,1.490,3.450
2,12:47,1,10,CIN 32,Nyheim Hines middle for 6 yards (tackle by Clayton Fejedelem),3,3,3.450,3.710
2,12:09,2,4,CIN 26,Andrew Luck pass complete deep right to Eric Ebron for 26 yards touchdown,3,9,3.710,7.000
2,12:02,,,CIN 15,Adam Vinatieri kicks extra point good,3,10,0.000,0.000
2,12:02,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,3,10,0.000,-0.610
2,12:02,1,10,CIN 25,Giovani Bernard right end for 2 yards (tackle by Darius Leonard). Penalty on Bobby Hart: Offensive Holding 10 yards (no play),3,10,0.610,-0.410
2,11:33,1,20,CIN 15,Andy Dalton pass complete short right to Tyler Boyd for 5 yards (tackle by Anthony Walker),3,10,-0.410,-0.610
2,10:50,2,15,CIN 20,Andy Dalton pass complete short right to Giovani Bernard for 11 yards (tackle by Clayton Geathers),3,10,-0.610,0.170
2,10:08,3,4,CIN 31,Andy Dalton for 1 yard (tackle by Darius Leonard),3,10,0.170,-1.240
2,9:34,4,3,CIN 32,Kevin Huber punts 46 yards returned by Chester Rogers for no gain,3,10,-1.240,-0.410
2,9:24,1,10,CLT 22,Jordan Wilkins left end for 5 yards (tackle by William Jackson),3,10,0.410,0.540
2,8:56,2,5,CLT 27,Andrew Luck pass incomplete,3,10,0.540,-0.160
2,8:48,3,5,CLT 27,Andrew Luck pass complete short left to T.Y. Hilton for 13 yards (tackle by Clayton Fejedelem),3,10,-0.160,1.600
2,8:07,1,10,CLT 40,Andrew Luck pass complete deep right to T.Y. Hilton for 24 yards (tackle by Dre Kirkpatrick). Penalty on T.Y. Hilton: Offensive Pass Interference 10 yards (no play),3,10,1.600,0.940
2,7:44,1,20,CLT 30,Christine Michael middle for 8 yards (tackle by Clayton Fejedelem),3,10,0.940,0.780
2,7:05,2,12,CLT 38,Andrew Luck pass complete short middle to Nyheim Hines for 17 yards (tackle by Clayton Fejedelem),3,10,0.780,2.590
2,6:27,1,10,CIN 45,Nyheim Hines right tackle for 1 yard (tackle by Geno Atkins and Ryan Glasgow),3,10,2.590,2.180
2,5:49,2,9,CIN 44,Jordan Wilkins right tackle for 6 yards (tackle by Jessie Bates),3,10,2.180,2.280
2,5:10,3,3,CIN 38,Andrew Luck pass complete short right to Erik Swoope for 13 yards (tackle by Clayton Fejedelem),3,10,2.280,3.910
2,4:30,1,10,CIN 25,Christine Michael middle for 1 yard (tackle by Jordan Evans),3,10,3.910,3.500
2,3:50,2,9,CIN 24,Andrew Luck pass complete short right to Ryan Grant for 4 yards (tackle by Preston Brown),3,10,3.500,3.340
2,3:11,3,5,CIN 20,Andrew Luck pass incomplete short right intended for T.Y. Hilton. Penalty on Eric Ebron: Offensive Pass Interference (Declined),3,10,3.340,2.170
2,3:06,4,5,CIN 20,Adam Vinatieri 38 yard field goal good,3,13,2.170,3.000
2,3:01,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,3,13,0.000,-0.610
2,3:01,1,10,CIN 25,Andy Dalton pass complete short right to C.J. Uzomah for 4 yards (tackle by Clayton Geathers),3,13,0.610,0.600
2,2:40,2,6,CIN 29,Joe Mixon left tackle for 5 yards,3,13,0.600,0.560
2,2:19,3,1,CIN 34,Joe Mixon left end for 27 yards (tackle by Malik Hooker),3,13,0.560,2.980
2,2:00,1,10,CLT 39,Andy Dalton pass incomplete deep left intended for A.J. Green. Penalty on Quincy Wilson: Defensive Pass Interference 36 yards (no play),3,13,2.980,6.510
2,1:54,1,3,CLT 3,Andy Dalton pass incomplete short right intended for A.J. Green,3,13,6.510,5.530
