Quarter,Time,Down,ToGo,Location,Detail,HOU,NWE,EPB,EPA
1,15:00,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,NWE 25,Rex Burkhead middle for 6 yards (tackle by Kareem Jackson),0,0,0.610,0.870
1,14:25,2,4,NWE 31,James White middle for 1 yard (tackle by Christian Covington and Zach Cunningham),0,0,0.870,0.300
1,13:49,3,3,NWE 32,James White middle for 1 yard (tackle by Zach Cunningham),0,0,0.300,-1.180
1,13:13,4,2,NWE 33,Ryan Allen punts 45 yards,0,0,-1.180,-0.410
1,13:04,1,10,HTX 22,Deshaun Watson for no gain. Deshaun Watson fumbles recovered by Dont'a Hightower at HOU-19 (tackle by Seantrel Henderson),0,0,0.410,-4.310
1,12:58,1,10,HTX 19,Tom Brady pass incomplete deep right intended for Rex Burkhead,0,0,4.310,3.750
1,12:54,2,10,HTX 19,Cordarrelle Patterson left end for 3 yards (tackle by Kareem Jackson),0,0,3.750,3.410
1,12:09,3,7,HTX 16,Penalty on Joe Thuney: False Start 5 yards (no play),0,0,3.410,2.810
1,11:58,3,12,HTX 21,Tom Brady pass complete deep left to Rob Gronkowski for 21 yards touchdown,0,6,2.810,7.000
1,11:50,,,HTX 15,Stephen Gostkowski kicks extra point good,0,7,0.000,0.000
1,11:50,,,NWE 35,Stephen Gostkowski kicks off 66 yards returned by Tyler Ervin for 28 yards (tackle by Brandon King),0,7,0.000,-0.740
1,11:44,1,10,HTX 27,Lamar Miller left tackle for 1 yard (tackle by Trey Flowers),0,7,0.740,0.330
1,11:07,2,9,HTX 28,Deshaun Watson pass complete short right to Jordan Akins for 3 yards (tackle by Eric Rowe),0,7,0.330,0.040
1,10:32,3,6,HTX 31,Deshaun Watson pass incomplete short middle intended for Ryan Griffin,0,7,0.040,-1.310
1,10:28,4,6,HTX 31,Trevor Daniel punts 36 yards out of bounds,0,7,-1.310,-1.140
1,10:21,1,10,NWE 33,Tom Brady pass complete short left to James Develin for 5 yards (tackle by Zach Cunningham),0,7,1.140,1.270
1,9:41,2,5,NWE 38,Tom Brady pass complete short left to Cordarrelle Patterson for 6 yards (tackle by Johnathan Joseph and Zach Cunningham),0,7,1.270,1.860
1,9:05,1,10,NWE 44,Rex Burkhead right tackle for 3 yards (tackle by Angelo Blackson and Jadeveon Clowney),0,7,1.860,1.720
1,8:41,2,7,NWE 47,Tom Brady pass complete short left to James Develin for 4 yards (tackle by Johnathan Joseph),0,7,1.720,1.550
1,8:01,3,3,HTX 49,Tom Brady pass incomplete short left intended for James White,0,7,1.550,0.000
1,7:58,4,3,HTX 49,Ryan Allen punts 40 yards fair catch by Tyler Ervin,0,7,0.000,0.380
1,7:51,1,10,HTX 9,Deshaun Watson pass incomplete short left intended for Jordan Thomas,0,7,-0.380,-0.780
1,7:44,2,10,HTX 9,Lamar Miller left end for 31 yards (tackle by Patrick Chung),0,7,-0.780,1.600
1,7:16,1,10,HTX 40,Deshaun Watson left end for 13 yards (tackle by Patrick Chung),0,7,1.600,2.460
1,6:39,1,10,NWE 47,Deshaun Watson pass incomplete deep right intended for DeAndre Hopkins,0,7,2.460,1.910
1,6:30,2,10,NWE 47,Lamar Miller left guard for 4 yards (tackle by Danny Shelton and Adam Butler),0,7,1.910,1.750
1,5:48,3,6,NWE 43,Deshaun Watson pass incomplete short left intended for Bruce Ellington,0,7,1.750,0.400
1,5:45,4,6,NWE 43,--,0,7,0.400,0.380
1,5:39,1,10,NWE 6,Rex Burkhead middle for 6 yards (tackle by Kareem Jackson),0,7,-0.380,-0.340
1,5:02,2,4,NWE 12,Rex Burkhead right tackle for 3 yards (tackle by Benardrick McKinney),0,7,-0.340,-0.370
1,4:25,3,1,NWE 15,Tom Brady middle for no gain. Penalty on Cordarrelle Patterson: Illegal Shift 5 yards (no play),0,7,-0.370,-0.950
1,4:12,3,6,NWE 10,Tom Brady pass incomplete short middle intended for James White is intercepted by Tyrann Mathieu at NWE-17,0,7,-0.950,-4.440
1,4:06,1,10,NWE 17,Deshaun Watson pass incomplete short middle intended for Sammie Coates,0,7,4.440,3.850
1,4:02,2,10,NWE 17,Lamar Miller left guard for no gain (tackle by Lawrence Guy and Trey Flowers),0,7,3.850,3.070
1,3:24,3,10,NWE 17,Deshaun Watson sacked by Trey Flowers and Deatrich Wise for -7 yards,0,7,3.070,1.870
1,2:37,4,17,NWE 24,Ka'imi Fairbairn 42 yard field goal good,3,7,1.870,3.000
1,2:33,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,3,7,0.000,-0.610
1,2:33,1,10,NWE 25,Tom Brady pass complete short left to Phillip Dorsett for 10 yards (tackle by Johnathan Joseph),3,7,0.610,1.270
1,1:57,1,10,NWE 35,Tom Brady pass complete short left to Jeremy Hill for 6 yards (tackle by Johnathan Joseph),3,7,1.270,1.530
1,1:19,2,4,NWE 41,Tom Brady pass incomplete deep left intended for Rob Gronkowski. Penalty on Johnathan Joseph: Defensive Pass Interference 14 yards (no play),3,7,1.530,2.590
1,1:14,1,10,HTX 45,Tom Brady pass complete short left to Chris Hogan for 11 yards (tackle by Kareem Jackson),3,7,2.590,3.310
1,0:32,1,10,HTX 34,Tom Brady pass incomplete short middle intended for James White,3,7,3.310,2.770
1,0:29,2,10,HTX 34,Rex Burkhead right guard for 4 yards (tackle by Benardrick McKinney),3,7,2.770,2.610
2,15:00,3,6,HTX 30,Tom Brady pass complete short left to Rex Burkhead for 5 yards (tackle by Johnathan Joseph),3,7,2.610,1.950
2,14:37,4,1,HTX 25,Tom Brady middle for 2 yards (tackle by Brandon Dunn),3,7,1.950,4.040
2,13:55,1,10,HTX 23,Rex Burkhead left guard for 1 yard (tackle by Jadeveon Clowney),3,7,4.040,3.630
2,13:23,2,9,HTX 22,Cordarrelle Patterson right end for 10 yards (tackle by Tyrann Mathieu),3,7,3.630,4.780
2,12:45,1,10,HTX 12,Tom Brady pass complete short right to James White for 12 yards touchdown,3,13,4.780,7.000
2,12:38,,,HTX 15,Stephen Gostkowski kicks extra point good,3,14,0.000,0.000
2,12:38,,,NWE 35,Stephen Gostkowski kicks off 64 yards returned by Tyler Ervin for 36 yards (tackle by Devin McCourty),3,14,0.000,-1.400
2,12:32,1,10,HTX 37,Lamar Miller middle for 3 yards (tackle by Danny Shelton and Patrick Chung),3,14,1.400,1.260
2,12:00,2,7,HTX 40,Deshaun Watson pass complete deep left to Jordan Thomas for 27 yards (tackle by Patrick Chung),3,14,1.260,3.380
