Quarter,Time,Down,ToGo,Location,Detail,KAN,LAC,EPB,EPA
1,15:00,,,KAN 35,Harrison Butker kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,LAC 25,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Eric Murray),0,0,0.610,1.140
1,14:25,2,2,LAC 33,Melvin Gordon middle for 1 yard (tackle by Dee Ford and Kendall Fuller),0,0,1.140,0.560
1,14:03,3,1,LAC 34,Melvin Gordon middle for no gain (tackle by Reggie Ragland and Ron Parker),0,0,0.560,-1.110
1,13:24,4,1,LAC 34,Drew Kaser punts 57 yards returned by Tyreek Hill for 91 yards touchdown,6,0,-1.110,-7.000
1,,,,,Harrison Butker kicks extra point good,7,0,0.000,0.000
1,13:03,,,KAN 35,Harrison Butker kicks off 65 yards touchback,7,0,0.000,-0.610
1,13:03,1,10,LAC 25,Austin Ekeler left end for 7 yards (tackle by Eric Murray and Reggie Ragland),7,0,0.610,1.010
1,12:25,2,3,LAC 32,Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Kendall Fuller: Defensive Holding 5 yards (no play),7,0,1.010,1.400
1,12:21,1,10,LAC 37,Melvin Gordon middle for 3 yards (tackle by Xavier Williams and Reggie Ragland),7,0,1.400,1.260
1,11:44,2,7,LAC 40,Philip Rivers pass complete short right to Keenan Allen for 8 yards,7,0,1.260,2.130
1,11:10,1,10,LAC 48,Travis Benjamin for 19 yards (tackle by Kendall Fuller). Penalty on Chris Jones: Defensive Offside (Declined),7,0,2.130,3.380
1,10:48,1,10,KAN 33,Melvin Gordon middle for 2 yards (tackle by Ron Parker and Anthony Hitchens),7,0,3.380,3.110
1,10:09,2,8,KAN 31,Philip Rivers pass incomplete deep left intended for Tyrell Williams,7,0,3.110,2.410
1,10:03,3,8,KAN 31,Philip Rivers pass complete short middle to Tyrell Williams for 4 yards (tackle by Orlando Scandrick),7,0,2.410,1.750
1,9:24,4,4,KAN 27,Caleb Sturgis 45 yard field goal good,7,3,1.750,3.000
1,9:20,,,LAC 35,Caleb Sturgis kicks off 65 yards touchback,7,3,0.000,-0.610
1,9:20,1,10,KAN 25,Kareem Hunt middle for 4 yards (tackle by Jahleel Addae and Isaac Rochell),7,3,0.610,0.600
1,8:47,2,6,KAN 29,Patrick Mahomes pass complete short right to Sammy Watkins for 4 yards (tackle by Casey Hayward),7,3,0.600,0.430
1,8:07,3,2,KAN 33,Patrick Mahomes middle for 3 yards (tackle by Jahleel Addae),7,3,0.430,1.330
1,7:25,1,10,KAN 36,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Kyle Emanuel),7,3,1.330,1.600
1,6:50,2,4,KAN 42,Patrick Mahomes pass complete short middle to Tyreek Hill for 58 yards touchdown,13,3,1.600,7.000
1,6:39,,,LAC 15,Harrison Butker kicks extra point good,14,3,0.000,0.000
1,6:39,,,KAN 35,Harrison Butker kicks off 65 yards touchback,14,3,0.000,-0.610
1,6:39,1,10,LAC 25,Philip Rivers pass complete deep left to Austin Ekeler for 30 yards (tackle by Ron Parker). Penalty on Ron Parker: Lowering the Head to Initiate Contact 15 yards,14,3,0.610,3.580
1,6:16,1,10,KAN 30,Melvin Gordon middle for no gain (tackle by Justin Houston and Anthony Hitchens),14,3,3.580,3.030
1,5:35,2,10,KAN 30,Philip Rivers pass incomplete short left intended for Keenan Allen,14,3,3.030,2.340
1,5:31,3,10,KAN 30,Philip Rivers sacked by Dee Ford for -6 yards,14,3,2.340,0.880
1,5:12,4,16,KAN 36,Caleb Sturgis punts 24 yards,14,3,0.880,0.350
1,5:03,1,10,KAN 12,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,14,3,-0.350,-0.780
1,4:58,2,10,KAN 12,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,14,3,-0.780,-1.420
