Quarter,Time,Down,ToGo,Location,Detail,NYJ,DET,EPB,EPA
1,15:00,,,DET 35,Sam Martin kicks off 63 yards returned by Andre Roberts for 23 yards (tackle by Charles Washington),0,0,0.000,-0.610
1,14:53,1,10,NYJ 25,Sam Darnold pass incomplete short left intended for Bilal Powell is intercepted by Quandre Diggs at NYJ-37 and returned for 37 yards touchdown,0,6,0.610,-7.000
1,,,,,Matt Prater kicks extra point good,0,7,0.000,0.000
1,14:40,,,DET 35,Sam Martin kicks off 64 yards returned by Andre Roberts for 22 yards (tackle by Teez Tabor). Penalty on J.J. Wilcox: Offensive Holding 10 yards,0,7,0.000,0.320
1,14:34,1,10,NYJ 13,Bilal Powell left tackle for 13 yards (tackle by Glover Quin),0,7,-0.320,0.670
1,13:58,1,10,NYJ 26,Bilal Powell middle for 4 yards (tackle by Sylvester Williams and Ezekiel Ansah),0,7,0.670,0.670
1,13:23,2,6,NYJ 30,Sam Darnold pass incomplete short right intended for Quincy Enunwa,0,7,0.670,-0.030
1,13:18,3,6,NYJ 30,Sam Darnold pass complete short middle to Neal Sterling for 12 yards (tackle by Tavon Wilson),0,7,-0.030,1.730
1,12:36,1,10,NYJ 42,Bilal Powell right end for 1 yard (tackle by Devon Kennard),0,7,1.730,1.320
1,11:52,2,9,NYJ 43,Sam Darnold pass complete short right to Eric Tomlinson for 7 yards (tackle by Darius Slay and Tavon Wilson),0,7,1.320,1.550
1,11:10,3,2,50,Isaiah Crowell middle for 3 yards (tackle by Nevin Lawson),0,7,1.550,2.460
1,10:23,1,10,DET 47,Sam Darnold pass incomplete deep right intended for Quincy Enunwa,0,7,2.460,1.910
1,10:17,2,10,DET 47,Isaiah Crowell left end for 5 yards (tackle by Nevin Lawson),0,7,1.910,1.880
1,9:31,3,5,DET 42,Sam Darnold sacked by Ezekiel Ansah for -8 yards,0,7,1.880,-0.060
1,8:45,4,13,50,Lac Edwards punts 40 yards fair catch by Jamal Agnew,0,7,-0.060,0.380
1,8:36,1,10,DET 10,Matthew Stafford pass incomplete short middle intended for Marvin Jones. Penalty on Trumaine Johnson: Defensive Pass Interference 12 yards (no play),0,7,-0.380,0.410
1,8:32,1,10,DET 22,LeGarrette Blount middle for -7 yards (tackle by Jamal Adams),0,7,0.410,-1.210
1,7:48,2,17,DET 15,Matthew Stafford pass incomplete short left intended for Kenny Golladay (defended by Morris Claiborne),0,7,-1.210,-2.050
1,7:44,3,17,DET 15,Theo Riddick middle for 5 yards (tackle by Buster Skrine),0,7,-2.050,-2.030
