Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
1,15:00,,,CLE 35,Zane Gonzalez kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,PIT 25,James Conner right guard for 3 yards (tackle by Trevon Coley and Denzel Ward),0,0,0.610,0.470
1,14:24,2,7,PIT 28,Ben Roethlisberger pass complete short left to James Conner for 5 yards (tackle by Christian Kirksey),0,0,0.470,0.430
1,13:37,3,2,PIT 33,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown,0,0,0.430,-1.180
1,13:35,4,2,PIT 33,Jordan Berry punts 31 yards out of bounds,0,0,-1.180,-1.330
1,13:29,1,10,CLE 36,Tyrod Taylor right end for 6 yards (tackle by Joe Haden and Jonathan Bostic),0,0,1.330,1.600
1,12:52,2,4,CLE 42,Tyrod Taylor pass complete short left to David Njoku for 1 yard (tackle by Jonathan Bostic and Artie Burns),0,0,1.600,1.030
1,12:24,3,3,CLE 43,Penalty on Joel Bitonio: False Start 5 yards (no play),0,0,1.030,0.370
1,12:08,3,8,CLE 38,Penalty on Desmond Harrison: False Start 5 yards (no play),0,0,0.370,-0.300
1,11:43,3,13,CLE 33,Tyrod Taylor middle for 15 yards (tackle by Bud Dupree),0,0,-0.300,2.130
1,10:56,1,10,CLE 48,Tyrod Taylor pass incomplete deep right intended for David Njoku (defended by Sean Davis),0,0,2.130,1.580
1,10:51,2,10,CLE 48,Carlos Hyde right guard for 4 yards (tackle by T.J. Watt),0,0,1.580,1.420
1,10:18,3,6,PIT 48,Tyrod Taylor pass incomplete short left intended for Jarvis Landry (defended by Mike Hilton),0,0,1.420,0.070
1,10:11,4,6,PIT 48,Britton Colquitt punts 48 yards touchback,0,0,0.070,-0.280
1,10:08,1,10,PIT 20,Ben Roethlisberger pass complete short right to James Conner for 12 yards (tackle by Christian Kirksey and Jamie Collins),0,0,0.280,1.070
1,9:29,1,10,PIT 32,James Conner right guard for 10 yards (tackle by Denzel Ward and Jabrill Peppers),0,0,1.070,1.730
1,8:48,1,10,PIT 42,James Conner left guard for 1 yard (tackle by Terrance Mitchell),0,0,1.730,1.320
1,8:10,2,9,PIT 43,Ben Roethlisberger pass incomplete short left intended for Ryan Switzer (defended by Christian Kirksey),0,0,1.320,0.630
1,8:05,3,9,PIT 43,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for no gain. Penalty on Justin Hunter: Illegal Block Above the Waist (Declined),0,0,0.630,-0.520
1,7:51,4,9,PIT 43,Jordan Berry punts 43 yards,0,0,-0.520,0.280
1,7:39,1,10,CLE 14,Tyrod Taylor sacked by Javon Hargrave for -5 yards. Penalty on T.J. Watt: Unnecessary Roughness 15 yards,0,0,-0.280,0.540
1,7:21,1,10,CLE 24,Tyrod Taylor pass incomplete short right intended for Carlos Hyde,0,0,0.540,0.000
1,7:16,2,10,CLE 24,Tyrod Taylor right tackle for 1 yard (tackle by Vince Williams),0,0,0.000,-0.560
1,6:41,3,9,CLE 25,Tyrod Taylor pass incomplete short right intended for Duke Johnson,0,0,-0.560,-1.700
1,6:34,4,9,CLE 25,Britton Colquitt punts 47 yards returned by Ryan Switzer for 22 yards (tackle by Briean Boddy-Calhoun),0,0,-1.700,-2.260
1,6:24,1,10,50,Ben Roethlisberger pass incomplete deep right intended for Justin Hunter,0,0,2.260,1.710
