Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
1,15:00,,,SEA 35,Sebastian Janikowski kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,DEN 25,Case Keenum pass incomplete short left intended for Demaryius Thomas (defended by Tre Flowers),0,0,0.610,0.060
1,14:57,2,10,DEN 25,Royce Freeman left end for 6 yards (tackle by Tre Flowers). Penalty on Demaryius Thomas: Offensive Holding 10 yards,0,0,0.060,-0.480
1,14:25,2,14,DEN 21,Case Keenum pass incomplete short middle intended for Demaryius Thomas (defended by Earl Thomas),0,0,-0.480,-1.150
1,14:17,3,14,DEN 21,Case Keenum pass complete short right to Emmanuel Sanders for 14 yards,0,0,-1.150,1.270
1,13:51,1,10,DEN 35,Royce Freeman middle for no gain (tackle by Shaquill Griffin),0,0,1.270,0.720
1,13:10,2,10,DEN 35,Phillip Lindsay left guard for 4 yards (tackle by Justin Coleman),0,0,0.720,0.560
1,12:28,3,6,DEN 39,Case Keenum pass incomplete deep left intended for Matt LaCosse,0,0,0.560,-0.780
1,12:23,4,6,DEN 39,Marquette King punts 45 yards,0,0,-0.780,0.140
1,12:11,1,10,SEA 16,Russell Wilson sacked by Darian Stewart and Bradley Chubb for -6 yards,0,0,-0.140,-1.220
1,11:27,2,16,SEA 10,Russell Wilson pass incomplete deep right intended for Will Dissly,0,0,-1.220,-2.120
1,11:18,3,16,SEA 10,Chris Carson middle for 10 yards (tackle by Chris Harris and Darian Stewart),0,0,-2.120,-2.030
1,10:43,4,6,SEA 20,Michael Dickson punts 60 yards returned by Adam Jones for 24 yards (tackle by Austin Calitro). Penalty on Keishawn Bierria: Offensive Holding 10 yards,0,0,-2.030,0.380
1,10:29,1,10,DEN 10,Case Keenum pass complete short right to Emmanuel Sanders for 9 yards (tackle by Shaquill Griffin),0,0,-0.380,0.240
1,9:57,2,1,DEN 19,Royce Freeman middle for 5 yards (tackle by Shaquem Griffin),0,0,0.240,0.540
1,9:21,1,10,DEN 24,Case Keenum pass incomplete deep right intended for Demaryius Thomas is intercepted by Earl Thomas at DEN-40 and returned for 25 yards,0,0,0.540,-4.580
1,9:10,1,10,DEN 15,Russell Wilson pass complete short left to Will Dissly for 15 yards touchdown,6,0,4.580,7.000
1,9:04,,,DEN 15,Sebastian Janikowski kicks extra point good,7,0,0.000,0.000
1,9:04,,,SEA 35,Sebastian Janikowski kicks off 65 yards touchback,7,0,0.000,-0.610
1,9:04,1,10,DEN 25,Case Keenum pass complete deep middle to Courtland Sutton for 20 yards (tackle by Tedric Thompson),7,0,0.610,1.930
1,8:39,1,10,DEN 45,Royce Freeman middle for 3 yards (tackle by Shaquem Griffin),7,0,1.930,1.790
1,8:10,2,7,DEN 48,Case Keenum pass complete short right to Demaryius Thomas for 8 yards (tackle by Shaquill Griffin),7,0,1.790,2.650
1,7:50,1,10,SEA 44,Case Keenum pass incomplete short middle intended for Demaryius Thomas,7,0,2.650,2.110
1,7:43,2,10,SEA 44,Case Keenum pass complete short left to Demaryius Thomas for 10 yards (tackle by Barkevious Mingo and Tedric Thompson),7,0,2.110,3.310
1,6:58,1,10,SEA 34,Case Keenum pass complete short left to Emmanuel Sanders for 5 yards (tackle by Tedric Thompson),7,0,3.310,3.450
1,6:18,2,5,SEA 29,Case Keenum pass complete short left to Phillip Lindsay for 29 yards touchdown,7,6,3.450,7.000
1,6:10,,,SEA 15,Brandon McManus kicks extra point good,7,7,0.000,0.000
1,6:10,,,DEN 35,Brandon McManus kicks off 63 yards returned by Tyler Lockett for 30 yards (tackle by Andy Janovich),7,7,0.000,-1.070
1,6:03,1,10,SEA 32,Rashaad Penny right guard for 2 yards (tackle by Todd Davis),7,7,1.070,0.800
1,5:29,2,8,SEA 34,Rashaad Penny left end for 5 yards (tackle by Bradley Chubb),7,7,0.800,0.760
1,4:46,3,3,SEA 39,Russell Wilson pass incomplete short left intended for Tyler Lockett (defended by Adam Gotsis),7,7,0.760,-0.780
1,4:42,4,3,SEA 39,Michael Dickson punts 59 yards,7,7,-0.780,0.380
1,4:30,1,10,DEN 2,Case Keenum pass complete short left to Demaryius Thomas for 23 yards (tackle by Bobby Wagner and Earl Thomas),7,7,-0.380,0.610
1,3:44,1,10,DEN 25,Case Keenum pass complete short right to Emmanuel Sanders for 8 yards (tackle by Shaquill Griffin),7,7,0.610,1.140
1,3:07,2,2,DEN 33,Case Keenum pass incomplete deep left intended for Tim Patrick (defended by Bobby Wagner),7,7,1.140,0.430
1,2:58,3,2,DEN 33,Phillip Lindsay left end for 3 yards (tackle by Barkevious Mingo),7,7,0.430,1.330
1,2:20,1,10,DEN 36,Royce Freeman right end for 7 yards (tackle by Bobby Wagner),7,7,1.330,1.740
1,1:40,2,3,DEN 43,Royce Freeman left guard for no gain (tackle by Bradley McDougald),7,7,1.740,1.030
1,1:00,3,3,DEN 43,Case Keenum pass incomplete short right intended for Phillip Lindsay,7,7,1.030,-0.520
1,0:56,4,3,DEN 43,Marquette King punts 52 yards out of bounds,7,7,-0.520,0.380
1,0:45,1,10,SEA 5,Chris Carson right tackle for 24 yards (tackle by Justin Simmons),7,7,-0.380,0.870
1,0:13,1,10,SEA 29,Russell Wilson pass complete short middle to Will Dissly for 66 yards (tackle by Brandon Marshall),7,7,0.870,6.060
2,15:00,1,5,DEN 5,Rashaad Penny left end for -2 yards (tackle by Adam Jones),7,7,6.060,4.760
2,14:20,2,7,DEN 7,Russell Wilson pass incomplete short right intended for Doug Baldwin (defended by Chris Harris),7,7,4.760,3.810
2,14:13,,,,Timeout #1 by Seattle Seahawks,7,7,,
2,14:13,3,7,DEN 7,Russell Wilson pass complete short middle to Brandon Marshall for 7 yards. Penalty on Brandon Marshall: Offensive Pass Interference 10 yards (no play),7,7,3.810,2.740
2,14:08,3,17,DEN 17,Russell Wilson pass incomplete short middle intended for Brandon Marshall,7,7,2.740,2.310
2,14:03,4,17,DEN 17,Sebastian Janikowski 35 yard field goal good,10,7,2.310,3.000
2,13:59,,,SEA 35,Sebastian Janikowski kicks off 65 yards touchback,10,7,0.000,-0.610
2,13:59,1,10,DEN 25,Royce Freeman left guard for 5 yards (tackle by Shaquill Griffin),10,7,0.610,0.740
2,13:20,2,5,DEN 30,Case Keenum pass complete short right to Jake Butt for 7 yards (tackle by Barkevious Mingo),10,7,0.740,1.400
