Quarter,Time,Down,ToGo,Location,Detail,SFO,MIN,EPB,EPA
1,15:00,,,SFO 35,Bradley Pinion kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,MIN 25,Kirk Cousins pass complete short right to Dalvin Cook for 9 yards (tackle by Brock Coyle),0,0,0.610,1.280
1,14:21,2,1,MIN 34,Dalvin Cook middle for 2 yards (tackle by Solomon Thomas and DeForest Buckner),0,0,1.280,1.330
1,13:42,1,10,MIN 36,Kirk Cousins pass complete short left to Dalvin Cook for 12 yards (tackle by Jaquiski Tartt),0,0,1.330,2.130
1,13:07,1,10,MIN 48,Dalvin Cook middle for 1 yard (tackle by Jaquiski Tartt),0,0,2.130,1.720
1,12:30,2,9,MIN 49,Kirk Cousins left tackle for 3 yards (tackle by Fred Warner),0,0,1.720,1.420
1,11:43,3,6,SFO 48,Kirk Cousins pass complete short right to Adam Thielen for 14 yards (tackle by K'Waun Williams),0,0,1.420,3.310
1,11:02,1,10,SFO 34,Kirk Cousins sacked by DeForest Buckner for -6 yards,0,0,3.310,1.960
1,10:23,2,16,SFO 40,Dalvin Cook left tackle for 2 yards (tackle by D.J. Jones),0,0,1.960,1.550
1,9:43,3,14,SFO 38,Kirk Cousins pass incomplete short left intended for Dalvin Cook,0,0,1.550,0.720
1,9:36,4,14,SFO 38,Matt Wile punts 34 yards,0,0,0.720,0.380
1,9:28,1,10,SFO 4,Jimmy Garoppolo pass complete short left to Pierre Garcon for 10 yards (tackle by Trae Waynes),0,0,-0.380,-0.280
1,8:57,1,10,SFO 14,Jimmy Garoppolo pass incomplete short right intended for Marquise Goodwin,0,0,-0.280,-0.750
1,8:53,2,10,SFO 14,Jimmy Garoppolo pass incomplete short middle intended for Pierre Garcon (defended by Andrew Sendejo). Penalty on Everson Griffen: Illegal Use of Hands 5 yards (no play),0,0,-0.750,0.150
1,8:47,1,10,SFO 19,Matt Breida left tackle for 4 yards (tackle by Sheldon Richardson),0,0,0.150,0.210
1,8:12,2,6,SFO 23,Matt Breida right end for -1 yards (tackle by Danielle Hunter),0,0,0.210,-0.680
1,7:27,3,7,SFO 22,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Eric Kendricks),0,0,-0.680,-1.900
1,7:23,4,7,SFO 22,Bradley Pinion punts 48 yards fair catch by Marcus Sherels,0,0,-1.900,-0.940
1,7:17,1,10,MIN 30,Dalvin Cook left end for 4 yards (tackle by Fred Warner),0,0,0.940,0.930
1,6:52,2,6,MIN 34,Kirk Cousins pass complete short right to Stefon Diggs for 18 yards (tackle by Richard Sherman and Brock Coyle),0,0,0.930,2.390
1,6:07,1,10,SFO 48,Kirk Cousins pass complete short left to Adam Thielen for 14 yards (tackle by Fred Warner),0,0,2.390,3.310
1,5:26,1,10,SFO 34,Kirk Cousins middle for 6 yards (tackle by Arik Armstead),0,0,3.310,3.580
1,4:50,2,4,SFO 28,Dalvin Cook left end for -2 yards (tackle by Fred Warner),0,0,3.580,2.610
1,4:04,3,6,SFO 30,Kirk Cousins pass incomplete short right intended for Laquon Treadwell,0,0,2.610,1.430
1,4:00,4,6,SFO 30,Daniel Carlson 48 yard field goal good,0,3,1.430,3.000
1,3:56,,,MIN 35,Daniel Carlson kicks off 65 yards touchback,0,3,0.000,-0.610
1,3:56,1,10,SFO 25,Alfred Morris left guard for 4 yards (tackle by Ben Gedeon). Penalty on Laken Tomlinson: Offensive Holding 10 yards (no play),0,3,0.610,-0.410
1,3:27,1,20,SFO 15,Jimmy Garoppolo sacked by Everson Griffen and Sheldon Richardson for -9 yards,0,3,-0.410,-2.170
