Quarter,Time,Down,ToGo,Location,Detail,TEN,MIA,EPB,EPA
1,15:00,,,MIA 35,Jason Sanders kicks off 57 yards returned by Darius Jennings for 27 yards (tackle by T.J. McDonald),0,0,0.000,-1.270
1,14:52,1,10,OTI 35,Derrick Henry left guard for 2 yards (tackle by Robert Quinn and Davon Godchaux),0,0,1.270,0.990
1,14:52,2,8,OTI 37,Marcus Mariota pass complete short left to Delanie Walker for 8 yards (tackle by Jerome Baker),0,0,0.990,1.930
1,13:47,1,10,OTI 45,Derrick Henry left tackle for 1 yard (tackle by T.J. McDonald),0,0,1.930,1.520
1,13:03,2,9,OTI 46,Derrick Henry left tackle for 3 yards (tackle by Jerome Baker),0,0,1.520,1.220
1,12:22,3,6,OTI 49,Marcus Mariota pass complete deep middle to Corey Davis for 17 yards (tackle by Xavien Howard),0,0,1.220,3.310
1,11:37,1,10,MIA 34,Derrick Henry left end for 5 yards (tackle by Minkah Fitzpatrick),0,0,3.310,3.450
1,11:11,2,5,MIA 29,Marcus Mariota pass complete short right to Corey Davis for 1 yard (tackle by Minkah Fitzpatrick),0,0,3.450,2.870
1,10:29,3,4,MIA 28,Marcus Mariota pass incomplete deep left intended for Taywan Taylor,0,0,2.870,1.650
1,10:22,4,4,MIA 28,Ryan Succop 47 yard field goal good,3,0,1.650,3.000
1,10:18,,,OTI 35,Ryan Succop kicks off 66 yards returned by Jakeem Grant for 23 yards (tackle by Aaron Wallace),3,0,0.000,-0.410
1,10:13,1,10,MIA 22,Kenyan Drake for 10 yards,3,0,0.410,1.070
1,9:43,1,10,MIA 32,Penalty on Laremy Tunsil: False Start 5 yards (no play),3,0,1.070,0.740
1,9:22,1,15,MIA 27,Ryan Tannehill pass complete short right to Danny Amendola for 7 yards (tackle by Wesley Woodyard),3,0,0.740,0.800
1,8:45,2,8,MIA 34,Kenyan Drake right tackle for 1 yard (tackle by DaQuan Jones and Brian Orakpo),3,0,0.800,0.230
1,8:19,3,7,MIA 35,Ryan Tannehill pass complete short left to Danny Amendola for 3 yards (tackle by Logan Ryan),3,0,0.230,-0.850
1,7:46,4,4,MIA 38,Matt Haack punts 62 yards touchback,3,0,-0.850,-0.280
1,7:38,1,10,OTI 20,Marcus Mariota pass complete short right to Corey Davis for 10 yards (tackle by Reshad Jones and Raekwon McMillan),3,0,0.280,0.940
1,7:09,1,10,OTI 30,Marcus Mariota pass complete short right to Tajae Sharpe for 17 yards (tackle by T.J. McDonald),3,0,0.940,2.060
1,6:22,,,,Timeout #1 by Tennessee Titans,3,0,,
1,6:22,1,10,OTI 47,Derrick Henry left tackle for no gain (tackle by Davon Godchaux),3,0,2.060,1.520
1,5:35,2,10,OTI 47,Marcus Mariota pass complete short right to Derrick Henry for 5 yards (tackle by Davon Godchaux and Reshad Jones),3,0,1.520,1.490
1,4:53,3,5,MIA 48,Marcus Mariota left end for 7 yards (tackle by Bobby McCain and Minkah Fitzpatrick),3,0,1.490,2.850
1,4:05,,,,Timeout #2 by Tennessee Titans,3,0,,
1,4:05,1,10,MIA 41,Derrick Henry right guard for 5 yards (tackle by Cameron Wake),3,0,2.850,2.980
1,3:28,2,5,MIA 36,Marcus Mariota pass complete deep left to Luke Stocker for 31 yards (tackle by T.J. McDonald),3,0,2.980,6.060
1,2:41,1,5,MIA 5,Derrick Henry left guard for 2 yards (tackle by Bobby McCain and Jordan Phillips),3,0,6.060,5.530
1,1:59,2,3,MIA 3,Marcus Mariota pass incomplete short left intended for Delanie Walker (defended by Bobby McCain),3,0,5.530,4.720
1,1:55,3,3,MIA 3,Marcus Mariota pass incomplete short left intended for Corey Davis,3,0,4.720,3.040
1,1:47,4,3,MIA 3,Marcus Mariota pass complete short right to Corey Davis for 1 yard (tackle by Minkah Fitzpatrick),3,0,3.040,0.380
1,1:42,1,10,MIA 2,Penalty on Jurrell Casey: Neutral Zone Infraction 5 yards (no play),3,0,-0.380,-0.190
1,1:42,1,5,MIA 7,Kenyan Drake right tackle for 6 yards (tackle by Logan Ryan). Penalty on DaQuan Jones: Defensive Offside (Declined),3,0,-0.190,-0.320
1,1:21,1,10,MIA 13,Ryan Tannehill pass complete short right to Albert Wilson for 4 yards (tackle by Adoree' Jackson),3,0,-0.320,-0.300
1,0:52,2,6,MIA 17,Ryan Tannehill pass incomplete short right intended for Danny Amendola,3,0,-0.300,-0.940
1,0:47,3,6,MIA 17,Ryan Tannehill pass complete short middle to Albert Wilson for 6 yards (tackle by Derrick Morgan),3,0,-0.940,0.480
1,0:03,1,10,MIA 23,Ryan Tannehill pass complete short right to Kenyan Drake for 4 yards (tackle by Adoree' Jackson),3,0,0.480,0.470
2,15:00,2,6,MIA 27,Ryan Tannehill pass complete short right to Jakeem Grant for 7 yards,3,0,0.470,1.200
2,14:36,1,10,MIA 34,Frank Gore left guard for 10 yards (tackle by Kenny Vaccaro),3,0,1.200,1.860
2,14:01,1,10,MIA 44,Ryan Tannehill pass complete short left to Jakeem Grant for 8 yards (tackle by Malcolm Butler). Penalty on Malcolm Butler: Unnecessary Roughness 15 yards,3,0,1.860,3.380
2,13:35,1,10,OTI 33,Frank Gore left tackle for 7 yards (tackle by Wesley Woodyard and Jurrell Casey),3,0,3.380,3.780
2,13:01,2,3,OTI 26,Albert Wilson left end for 5 yards (tackle by Malcolm Butler),3,0,3.780,4.170
2,12:27,1,10,OTI 21,Ryan Tannehill pass complete short right to Albert Wilson for 5 yards (tackle by Jurrell Casey). Penalty on Laremy Tunsil: Offensive Holding 10 yards (no play),3,0,4.170,3.510
2,12:01,1,20,OTI 31,Frank Gore left tackle for 21 yards (tackle by Malcolm Butler),3,0,3.510,4.910
2,11:26,1,10,OTI 10,Ryan Tannehill pass complete short right to Kenny Stills for 10 yards touchdown,3,6,4.910,7.000
2,11:21,,,OTI 15,Jason Sanders kicks extra point good,3,7,0.000,0.000
2,11:21,,,MIA 35,Jason Sanders kicks off 65 yards touchback,3,7,0.000,-0.610
2,11:21,1,10,OTI 25,Dion Lewis left tackle for -5 yards (tackle by Robert Quinn and Reshad Jones),3,7,0.610,-0.610
2,10:39,2,15,OTI 20,Marcus Mariota pass complete short middle to Dion Lewis for 13 yards (tackle by Kiko Alonso and Minkah Fitzpatrick),3,7,-0.610,0.430
2,9:54,3,2,OTI 33,Penalty on Robert Quinn: Neutral Zone Infraction 5 yards (no play),3,7,0.430,1.470
2,9:36,1,10,OTI 38,Dion Lewis right tackle for 1 yard (tackle by T.J. McDonald and Vincent Taylor),3,7,1.470,1.060
2,9:07,2,9,OTI 39,Marcus Mariota right end for 6 yards (tackle by T.J. McDonald and Charles Harris),3,7,1.060,1.160
2,8:22,3,3,OTI 45,Marcus Mariota pass incomplete deep left intended for Corey Davis,3,7,1.160,-0.390
2,8:17,4,3,OTI 45,Brett Kern punts 40 yards out of bounds,3,7,-0.390,0.220
2,8:11,1,10,MIA 15,Kenyan Drake middle for 8 yards (tackle by Jayon Brown),3,7,-0.220,0.480
2,7:43,2,2,MIA 23,Kenyan Drake right end for 8 yards (tackle by Jayon Brown). Penalty on Ja'Wuan James: Offensive Holding 10 yards (no play),3,7,0.480,-0.920
2,7:16,2,12,MIA 13,Ryan Tannehill pass complete short left to Jakeem Grant for 13 yards (tackle by Jayon Brown and Kenny Vaccaro),3,7,-0.920,0.670
2,6:45,1,10,MIA 26,Kenyan Drake left tackle for 16 yards (tackle by Kevin Byard),3,7,0.670,1.730
2,6:10,1,10,MIA 42,Frank Gore middle for 8 yards (tackle by Wesley Woodyard and Logan Ryan),3,7,1.730,2.270
2,5:27,2,2,50,Frank Gore middle for 3 yards (tackle by Bennie Logan and William Compton),3,7,2.270,2.460
2,4:53,1,10,OTI 47,Albert Wilson right tackle for 2 yards (tackle by Wesley Woodyard),3,7,2.460,2.180
2,4:15,2,8,OTI 45,Ryan Tannehill pass complete short right to Albert Wilson for 21 yards (tackle by Kenny Vaccaro),3,7,2.180,3.970
2,3:32,1,10,OTI 24,Kenyan Drake left end for -1 yards (tackle by Malcolm Butler),3,7,3.970,3.300
