Quarter,Time,Down,ToGo,Location,Detail,MIA,NYJ,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,MIA 25,Ryan Tannehill right end for 20 yards,0,0,0.610,1.930
1,14:22,1,10,MIA 45,Kenyan Drake middle for no gain (tackle by Buster Skrine),0,0,1.930,1.380
1,13:44,2,10,MIA 45,Kenyan Drake middle for 2 yards (tackle by Brandon Copeland),0,0,1.380,0.960
1,13:06,3,8,MIA 47,Ryan Tannehill pass complete short right to Kenyan Drake for 1 yard (tackle by Jamal Adams and Darron Lee),0,0,0.960,-0.190
1,12:34,4,7,MIA 48,Matt Haack punts 48 yards out of bounds,0,0,-0.190,0.380
1,12:24,1,10,NYJ 4,Bilal Powell right tackle for 1 yard (tackle by Davon Godchaux and Cameron Wake),0,0,-0.380,-0.710
1,11:46,2,9,NYJ 5,Sam Darnold pass complete short right to Bilal Powell for 10 yards (tackle by Akeem Spence),0,0,-0.710,-0.220
1,11:07,1,10,NYJ 15,Penalty on Kelvin Beachum: False Start 5 yards (no play),0,0,-0.220,-0.570
1,10:50,1,15,NYJ 10,Sam Darnold for no gain. Sam Darnold fumbles recovered by Bilal Powell at NYJ-8,0,0,-0.570,-1.290
1,10:07,2,17,NYJ 8,Sam Darnold pass complete short middle to Bilal Powell for 6 yards (tackle by Kiko Alonso),0,0,-1.290,-1.510
1,9:23,3,11,NYJ 14,Sam Darnold pass incomplete deep right intended for Quincy Enunwa,0,0,-1.510,-2.470
1,9:17,4,11,NYJ 14,Lac Edwards punts 46 yards fair catch by Jakeem Grant,0,0,-2.470,-1.600
1,9:09,1,10,MIA 40,Ryan Tannehill sacked by Jamal Adams for -7 yards. Ryan Tannehill fumbles (forced by Jamal Adams) recovered by A.J. Derby at MIA-34,0,0,1.600,0.240
1,8:26,2,16,MIA 34,Ryan Tannehill pass complete short right to Danny Amendola for 8 yards (tackle by Buster Skrine),0,0,0.240,0.630
1,7:46,3,8,MIA 42,Ryan Tannehill sacked by Henry Anderson for -15 yards,0,0,0.630,-1.570
1,7:00,4,23,MIA 27,Matt Haack punts 63 yards out of bounds,0,0,-1.570,0.380
1,6:46,1,10,NYJ 10,Isaiah Crowell middle for 5 yards (tackle by Vincent Taylor),0,0,-0.380,-0.350
1,6:04,2,5,NYJ 15,Isaiah Crowell right guard for 9 yards (tackle by Kiko Alonso),0,0,-0.350,0.540
1,5:31,1,10,NYJ 24,Sam Darnold pass incomplete short right intended for Isaiah Crowell,0,0,0.540,0.000
1,5:27,2,10,NYJ 24,Sam Darnold pass complete short left to Quincy Enunwa for 7 yards (tackle by Minkah Fitzpatrick),0,0,0.000,0.230
1,4:45,3,3,NYJ 31,Sam Darnold pass complete short right to Quincy Enunwa for 4 yards (tackle by Minkah Fitzpatrick),0,0,0.230,1.270
1,4:04,1,10,NYJ 35,Sam Darnold sacked by Charles Harris for -6 yards. Penalty on Andre Branch: Defensive Offside 5 yards (no play),0,0,1.270,2.000
1,3:35,1,5,NYJ 40,Bilal Powell right guard for -1 yards (tackle by Davon Godchaux),0,0,2.000,1.260
1,2:53,2,6,NYJ 39,Sam Darnold pass incomplete short left intended for Quincy Enunwa is intercepted by T.J. McDonald at NYJ-46 and returned for 31 yards,0,0,1.260,-4.580
1,2:41,1,10,NYJ 15,Kenyan Drake middle for 6 yards (tackle by Buster Skrine),0,0,4.580,5.030
1,2:04,2,4,NYJ 9,Albert Wilson left end for 3 yards (tackle by Darron Lee and Doug Middleton),0,0,5.030,4.900
1,1:16,3,1,NYJ 6,Kenyan Drake middle for 6 yards touchdown,6,0,4.900,7.000
1,1:12,,,NYJ 15,Jason Sanders kicks extra point good,7,0,0.000,0.000
1,1:12,,,MIA 35,Jason Sanders kicks off 65 yards touchback,7,0,0.000,-0.610
1,1:12,1,10,NYJ 25,Isaiah Crowell right tackle for -3 yards (tackle by Robert Quinn),7,0,0.610,-0.340
1,0:34,2,13,NYJ 22,Sam Darnold pass complete short left to Terrelle Pryor for 5 yards (tackle by Kiko Alonso),7,0,-0.340,-0.360
2,15:00,3,8,NYJ 27,Sam Darnold sacked by Jordan Phillips for -5 yards,7,0,-0.360,-1.900
2,14:22,4,13,NYJ 22,Lac Edwards punts 60 yards returned by Jakeem Grant for 22 yards (tackle by Terrence Brooks),7,0,-1.900,-1.600
2,14:10,1,10,MIA 40,Ryan Tannehill left end for 5 yards (tackle by Buster Skrine),7,0,1.600,1.730
2,13:36,2,5,MIA 45,Frank Gore middle for 1 yard (tackle by Mike Pennel),7,0,1.730,1.160
2,12:57,3,4,MIA 46,Ryan Tannehill pass incomplete short left intended for A.J. Derby,7,0,1.160,-0.320
2,12:53,4,4,MIA 46,Matt Haack punts 37 yards fair catch by Andre Roberts,7,0,-0.320,0.060
2,12:46,1,10,NYJ 17,Sam Darnold pass complete short left to Quincy Enunwa for 20 yards (tackle by Raekwon McMillan),7,0,-0.060,1.400
