Quarter,Time,Down,ToGo,Location,Detail,CLE,OAK,EPB,EPA
1,15:00,1,10,RAI 25,Marshawn Lynch left guard for no gain (tackle by Christian Kirksey),0,0,0.610,0.060
1,14:28,2,10,RAI 25,Derek Carr pass complete short left to Jordy Nelson for 9 yards (tackle by Terrance Mitchell),0,0,0.060,0.560
1,13:58,3,1,RAI 34,Marshawn Lynch left guard for no gain (tackle by Larry Ogunjobi),0,0,0.560,-1.110
1,13:25,4,1,RAI 34,Johnny Townsend punts 47 yards returned by Antonio Callaway for 9 yards (tackle by Marquel Lee),0,0,-1.110,-0.810
1,13:16,1,10,CLE 28,Carlos Hyde left tackle for 2 yards (tackle by Emmanuel Lamur),0,0,0.810,0.530
1,12:41,2,8,CLE 30,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Marquel Lee),0,0,0.530,-0.160
1,12:36,3,8,CLE 30,Baker Mayfield pass incomplete short right intended for Rashard Higgins,0,0,-0.160,-1.370
1,12:32,4,8,CLE 30,Britton Colquitt punts 59 yards returned by Dwayne Harris for 12 yards (tackle by Orson Charles),0,0,-1.370,-0.480
1,12:17,1,10,RAI 23,Derek Carr pass complete short left to Lee Smith for 7 yards (tackle by Terrance Mitchell),0,0,0.480,0.880
1,11:40,2,3,RAI 30,Marshawn Lynch right tackle for -1 yards (tackle by Emmanuel Ogbah and Trevon Coley),0,0,0.880,0.040
1,11:01,3,4,RAI 29,Derek Carr pass incomplete deep middle intended for Jordy Nelson,0,0,0.040,-1.440
1,10:56,4,4,RAI 29,Johnny Townsend punts 38 yards. Penalty on Briean Boddy-Calhoun: Offensive Holding 10 yards,0,0,-1.440,-0.480
1,10:46,1,10,CLE 23,Carlos Hyde left guard for 2 yards (tackle by Rashaan Melvin),0,0,0.480,0.200
1,10:11,2,8,CLE 25,Baker Mayfield pass incomplete short left intended for Antonio Callaway is intercepted by Gareon Conley at CLE-36 and returned for 36 yards touchdown,0,6,0.200,-7.000
1,,,,,Matthew McCrane kicks extra point good,0,7,0.000,0.000
1,10:01,,,RAI 35,Matthew McCrane kicks off 65 yards touchback,0,7,0.000,-0.610
1,10:01,1,10,CLE 25,Baker Mayfield pass complete short middle to Jarvis Landry for 8 yards (tackle by Rashaan Melvin),0,7,0.610,1.140
1,9:29,2,2,CLE 33,Baker Mayfield pass complete short middle to Jarvis Landry for 11 yards (tackle by Marquel Lee). Penalty on Antonio Callaway: Offensive Pass Interference 10 yards (no play),0,7,1.140,-0.210
1,9:09,2,12,CLE 23,Baker Mayfield pass complete short left to Duke Johnson for 19 yards (tackle by Reggie Nelson). Penalty on Arden Key: Roughing the Passer 15 yards,0,7,-0.210,2.720
1,8:46,1,10,RAI 43,Carlos Hyde left end for 11 yards (tackle by Gareon Conley and Reggie Nelson). Penalty on Desmond Harrison: Offensive Holding 10 yards (no play),0,7,2.720,2.060
1,8:25,1,20,CLE 47,Baker Mayfield pass incomplete short middle intended for Orson Charles (defended by Maurice Hurst),0,7,2.060,0.830
1,8:21,2,20,CLE 47,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,0,7,0.830,0.170
1,8:14,3,20,CLE 47,Baker Mayfield pass complete short right to David Njoku for 14 yards (tackle by Tahir Whitehead),0,7,0.170,0.660
