Quarter,Time,Down,ToGo,Location,Detail,NYJ,JAX,EPB,EPA
1,15:00,,,JAX 35,Josh Lambo kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,NYJ 25,Sam Darnold pass complete short middle to Bilal Powell for -5 yards (tackle by Tashaun Gipson). Penalty on Spencer Long: Ineligible Downfield Pass 5 yards (no play),0,0,0.610,0.280
1,14:31,1,15,NYJ 20,Bilal Powell left tackle for 9 yards (tackle by Myles Jack). Penalty on Myles Jack: Face Mask (15 Yards) 15 yards,0,0,0.280,1.860
1,14:06,1,10,NYJ 44,Sam Darnold pass incomplete,0,0,1.860,1.320
1,13:59,2,10,NYJ 44,Bilal Powell right tackle for no gain (tackle by Malik Jackson),0,0,1.320,0.630
1,13:15,3,10,NYJ 44,Sam Darnold pass complete short middle to Bilal Powell for 8 yards (tackle by Telvin Smith),0,0,0.630,0.070
1,12:30,4,2,JAX 48,Lac Edwards punts 42 yards,0,0,0.070,0.380
1,12:19,1,10,JAX 6,Leonard Fournette left end for 1 yard (tackle by Morris Claiborne),0,0,-0.380,-0.710
1,11:44,2,9,JAX 7,Blake Bortles pass complete short middle to Donte Moncrief for 10 yards (tackle by Avery Williamson),0,0,-0.710,-0.060
1,11:13,1,10,JAX 17,Leonard Fournette middle for 8 yards (tackle by Avery Williamson),0,0,-0.060,0.620
1,10:32,2,2,JAX 25,Blake Bortles left end for 23 yards,0,0,0.620,2.130
1,9:49,1,10,JAX 48,Leonard Fournette middle for no gain (tackle by Jamal Adams),0,0,2.130,1.580
1,9:11,2,10,JAX 48,Blake Bortles pass complete short right to Keelan Cole for 9 yards (tackle by Trumaine Johnson),0,0,1.580,2.080
1,8:32,3,1,NYJ 43,Leonard Fournette middle for 2 yards (tackle by Darron Lee),0,0,2.080,2.850
1,7:57,1,10,NYJ 41,Blake Bortles pass complete short right to Donte Moncrief for 12 yards,0,0,2.850,3.640
1,7:40,1,10,NYJ 29,Leonard Fournette middle for 2 yards (tackle by Brandon Copeland),0,0,3.640,3.370
1,7:04,2,8,NYJ 27,Blake Bortles pass complete short middle to Leonard Fournette for 5 yards (tackle by Henry Anderson and Avery Williamson),0,0,3.370,3.340
1,6:24,3,3,NYJ 22,Blake Bortles pass complete short right to Dede Westbrook for 10 yards (tackle by Jamal Adams),0,0,3.340,4.780
