Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,CLE 25,Tyrod Taylor pass incomplete short right intended for Antonio Callaway,0,0,0.610,0.060
1,14:57,2,10,CLE 25,Tyrod Taylor left tackle for 2 yards (tackle by Brandon Copeland),0,0,0.060,-0.360
1,14:18,3,8,CLE 27,Tyrod Taylor pass incomplete deep left intended for Antonio Callaway,0,0,-0.360,-1.570
1,14:12,4,8,CLE 27,Britton Colquitt punts 44 yards fair catch by Andre Roberts,0,0,-1.570,-0.870
1,14:05,1,10,NYJ 29,Bilal Powell left end for 4 yards (tackle by Jabrill Peppers),0,0,0.870,0.870
1,13:27,2,6,NYJ 33,Sam Darnold pass complete short left to Christopher Herndon for -8 yards (tackle by Denzel Ward),0,0,0.870,-0.890
1,12:41,3,14,NYJ 25,Sam Darnold pass incomplete short left intended for Bilal Powell,0,0,-0.890,-1.700
1,12:35,4,14,NYJ 25,Lac Edwards punts 51 yards returned by Jabrill Peppers for 2 yards (tackle by Doug Middleton),0,0,-1.700,-0.670
1,12:24,1,10,CLE 26,Tyrod Taylor pass incomplete short left intended for Jarvis Landry (defended by Steve McLendon),0,0,0.670,0.130
1,12:20,2,10,CLE 26,Tyrod Taylor pass incomplete deep left intended for Jarvis Landry,0,0,0.130,-0.560
1,12:13,3,10,CLE 26,Tyrod Taylor for 22 yards (tackle by Doug Middleton),0,0,-0.560,2.130
1,11:44,1,10,CLE 48,Tyrod Taylor pass incomplete short right intended for Jarvis Landry,0,0,2.130,1.580
1,11:37,2,10,CLE 48,Carlos Hyde left end for 4 yards (tackle by Avery Williamson),0,0,1.580,1.420
1,11:01,3,6,NYJ 48,Tyrod Taylor pass incomplete deep middle intended for Antonio Callaway,0,0,1.420,0.070
1,10:50,4,6,NYJ 48,Britton Colquitt punts 47 yards,0,0,0.070,0.380
1,10:42,1,10,NYJ 1,Isaiah Crowell left guard for 1 yard (tackle by James Burgess),0,0,-0.380,-0.710
1,10:10,2,9,NYJ 2,Isaiah Crowell right tackle for 2 yards (tackle by Jabrill Peppers),0,0,-0.710,-1.070
1,9:25,3,7,NYJ 4,Sam Darnold pass incomplete short left intended for Isaiah Crowell,0,0,-1.070,-2.490
1,9:21,4,7,NYJ 4,Lac Edwards punts 43 yards returned by Jabrill Peppers for 8 yards (tackle by Kevin Pierre-Louis),0,0,-2.490,-2.980
1,9:11,1,10,NYJ 39,Tyrod Taylor sacked by Avery Williamson for -7 yards,0,0,2.980,1.500
1,8:35,2,17,NYJ 46,Tyrod Taylor left guard for 3 yards (tackle by Jamal Adams),0,0,1.500,1.220
1,7:53,3,14,NYJ 43,Tyrod Taylor pass complete short right to Antonio Callaway for 2 yards (tackle by Darron Lee),0,0,1.220,0.530
1,7:25,4,12,NYJ 41,Britton Colquitt punts 30 yards fair catch by Andre Roberts,0,0,0.530,0.370
1,7:18,1,10,NYJ 11,Bilal Powell right end for 7 yards (tackle by T.J. Carrie),0,0,-0.370,0.000
1,6:42,2,3,NYJ 18,Sam Darnold pass complete short left to Quincy Enunwa for 14 yards (tackle by Damarious Randall),0,0,0.000,1.070
1,6:10,1,10,NYJ 32,Sam Darnold pass incomplete short right intended for Terrelle Pryor,0,0,1.070,0.530
1,6:04,2,10,NYJ 32,Bilal Powell left tackle for no gain (tackle by Jamie Collins and Larry Ogunjobi),0,0,0.530,-0.160
1,5:22,3,10,NYJ 32,Sam Darnold sacked by Myles Garrett for -6 yards,0,0,-0.160,-1.630
1,4:45,4,16,NYJ 26,Lac Edwards punts 62 yards returned by Jabrill Peppers for 5 yards (tackle by Terrence Brooks). Penalty on Denzel Rice: Offensive Holding 6 yards,0,0,-1.630,0.380
1,4:32,1,10,CLE 6,Carlos Hyde right tackle for 22 yards (tackle by Doug Middleton),0,0,-0.380,0.810
