Quarter,Time,Down,ToGo,Location,Detail,BAL,CLE,EPB,EPA
1,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,RAV 25,Alex Collins left end for 19 yards (tackle by Damarious Randall and Joe Schobert),0,0,0.610,1.860
1,14:16,1,10,RAV 44,Joe Flacco pass incomplete short right intended for John Brown (defended by Jabrill Peppers),0,0,1.860,1.320
1,14:10,2,10,RAV 44,Alex Collins right tackle for 9 yards (tackle by Christian Kirksey),0,0,1.320,1.820
1,13:27,3,1,CLE 47,Joe Flacco right end for 1 yard (tackle by Jamie Collins),0,0,1.820,0.130
,,,,,CLE challenged the first down ruling and the play was overturned. Joe Flacco sacked by Jamie Collins for 0 yards,,,,
1,13:10,4,1,CLE 47,Joe Flacco middle for 2 yards (tackle by Emmanuel Ogbah),0,0,0.130,2.590
1,12:38,1,10,CLE 45,Javorius Allen right guard for 3 yards (tackle by Christian Kirksey),0,0,2.590,2.450
1,12:04,2,7,CLE 42,Joe Flacco pass incomplete deep right intended for John Brown,0,0,2.450,1.750
1,11:59,3,7,CLE 42,Joe Flacco pass incomplete short right intended for Michael Crabtree,0,0,1.750,0.460
1,11:52,4,7,CLE 42,Sam Koch punts 33 yards,0,0,0.460,0.380
1,11:44,1,10,CLE 9,Carlos Hyde left guard for 10 yards (tackle by Chris Wormley),0,0,-0.380,0.150
1,10:58,1,10,CLE 19,Baker Mayfield pass complete short right to Carlos Hyde for 9 yards (tackle by Za'Darius Smith),0,0,0.150,0.880
1,10:25,2,1,CLE 28,Baker Mayfield pass complete short right to David Njoku for -4 yards (tackle by Tony Jefferson),0,0,0.880,-0.420
1,9:41,3,5,CLE 24,Baker Mayfield pass incomplete short middle intended for Rashard Higgins is intercepted by Tavon Young at CLE-33,0,0,-0.420,-3.380
1,9:33,1,10,CLE 33,Joe Flacco pass complete short right to Hayden Hurst for 7 yards (tackle by Jamie Collins),0,0,3.380,3.780
1,8:48,2,3,CLE 26,Joe Flacco pass incomplete short right intended for Michael Crabtree (defended by Denzel Ward),0,0,3.780,3.070
1,8:45,3,3,CLE 26,Joe Flacco pass incomplete short left intended for John Brown (defended by E.J. Gaines),0,0,3.070,1.840
1,8:41,4,3,CLE 26,Justin Tucker 44 yard field goal good,3,0,1.840,3.000
1,8:37,,,RAV 35,Justin Tucker kicks off 65 yards touchback,3,0,0.000,-0.610
1,8:37,1,10,CLE 25,Nick Chubb right guard for -1 yards (tackle by C.J. Mosley),3,0,0.610,-0.070
1,7:59,2,11,CLE 24,Nick Chubb left tackle for 14 yards (tackle by Jimmy Smith). Penalty on David Njoku: Offensive Holding 10 yards (no play),3,0,-0.070,-1.540
1,7:33,2,21,CLE 14,Baker Mayfield pass complete short middle to Carlos Hyde for 5 yards (tackle by C.J. Mosley),3,0,-1.540,-1.510
1,6:52,3,16,CLE 19,Baker Mayfield pass complete deep right to Rashard Higgins for 21 yards (tackle by Tony Jefferson),3,0,-1.510,1.600
1,6:14,1,10,CLE 40,Carlos Hyde left guard for 12 yards (tackle by Jimmy Smith and Patrick Ricard),3,0,1.600,2.390
1,5:36,1,10,RAV 48,Carlos Hyde left guard for 3 yards (tackle by Tony Jefferson),3,0,2.390,2.250
1,4:58,2,7,RAV 45,Baker Mayfield pass complete short middle to Darren Fells for 8 yards (tackle by Matt Judon),3,0,2.250,3.120
1,4:17,1,10,RAV 37,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,3,0,3.120,2.570
1,4:12,2,10,RAV 37,Nick Chubb left tackle for 2 yards (tackle by Brandon Williams),3,0,2.570,2.150
1,3:35,3,8,RAV 35,Baker Mayfield sacked by Eric Weddle for -9 yards,3,0,2.150,0.330
1,3:01,4,17,RAV 44,Britton Colquitt punts 28 yards fair catch by Tim White,3,0,0.330,0.140
1,2:55,1,10,RAV 16,Joe Flacco pass complete deep right to John Brown for 28 yards (tackle by Joe Schobert),3,0,-0.140,1.860
1,2:10,1,10,RAV 44,Joe Flacco pass complete short right to Alex Collins for 7 yards (tackle by Denzel Ward and Christian Kirksey),3,0,1.860,2.260
1,1:30,2,3,CLE 49,Alex Collins left end for -2 yards (tackle by Jamie Collins),3,0,2.260,1.290
