Quarter,Time,Down,ToGo,Location,Detail,DEN,NYJ,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 72 yards returned by Phillip Lindsay for 27 yards (tackle by Parry Nickerson). Penalty on Andy Janovich: Offensive Holding 10 yards,0,0,0.000,0.380
1,14:54,1,10,DEN 10,Case Keenum pass complete short right to Royce Freeman for 7 yards (tackle by Buster Skrine),0,0,-0.380,-0.090
1,14:22,2,3,DEN 17,Royce Freeman middle for 2 yards (tackle by Steve McLendon),0,0,-0.090,-0.370
1,13:44,3,1,DEN 19,Royce Freeman middle for 2 yards (tackle by Steve McLendon),0,0,-0.370,0.340
1,13:06,1,10,DEN 21,Phillip Lindsay right end for 29 yards (tackle by Jamal Adams),0,0,0.340,2.260
1,12:24,1,10,50,Case Keenum pass incomplete short middle intended for Emmanuel Sanders,0,0,2.260,1.710
1,12:15,2,10,50,Phillip Lindsay middle for 4 yards (tackle by Mike Pennel),0,0,1.710,1.550
1,11:37,3,6,NYJ 46,Case Keenum pass incomplete short left intended for Emmanuel Sanders (defended by Buster Skrine),0,0,1.550,0.200
1,11:32,4,6,NYJ 46,Colby Wadman punts 29 yards out of bounds,0,0,0.200,0.060
1,11:24,1,10,NYJ 17,Bilal Powell middle for 2 yards (tackle by Derek Wolfe),0,0,-0.060,-0.250
1,10:45,2,8,NYJ 19,Bilal Powell right guard for 1 yard (tackle by Adam Gotsis). Bilal Powell fumbles (forced by Adam Gotsis) recovered by Adam Gotsis at NYJ-20 (tackle by Bilal Powell),0,0,-0.250,-4.240
1,10:34,1,10,NYJ 20,Phillip Lindsay right guard for 12 yards (tackle by Darryl Roberts and Jamal Adams),0,0,4.240,5.370
1,9:58,1,8,NYJ 8,Phillip Lindsay middle for no gain (tackle by Jamal Adams),0,0,5.370,4.570
1,9:26,2,8,NYJ 8,Case Keenum pass complete short right to Courtland Sutton for 8 yards touchdown,6,0,4.570,7.000
1,9:19,,,NYJ 15,Brandon McManus kicks extra point good,7,0,0.000,0.000
1,9:19,,,DEN 35,Brandon McManus kicks off 62 yards returned by Andre Roberts for 22 yards (tackle by Dymonte Thomas),7,0,0.000,-0.610
1,9:12,1,10,NYJ 25,Sam Darnold pass incomplete short right intended for Robby Anderson (defended by Von Miller),7,0,0.610,0.060
1,9:09,2,10,NYJ 25,Isaiah Crowell left tackle for 15 yards (tackle by Brandon Marshall and Darian Stewart),7,0,0.060,1.600
1,8:32,1,10,NYJ 40,Isaiah Crowell right tackle for 5 yards (tackle by Chris Harris),7,0,1.600,1.730
1,7:49,2,5,NYJ 45,Sam Darnold pass complete short right to Jordan Leggett for 10 yards (tackle by Justin Simmons and Brandon Marshall),7,0,1.730,2.590
1,7:08,1,10,DEN 45,Bilal Powell left guard for 5 yards (tackle by Darian Stewart),7,0,2.590,2.720
1,6:32,2,5,DEN 40,Bilal Powell middle for 15 yards (tackle by Darian Stewart),7,0,2.720,3.910
1,5:52,1,10,DEN 25,Bilal Powell left end for -3 yards (tackle by Shane Ray),7,0,3.910,2.960
1,5:11,2,13,DEN 28,Sam Darnold pass complete short right to Robby Anderson for 12 yards,7,0,2.960,4.060
1,4:40,3,1,DEN 16,Sam Darnold middle for 3 yards (tackle by Bradley Chubb),7,0,4.060,4.710
1,4:02,1,10,DEN 13,Isaiah Crowell middle for 1 yard (tackle by Domata Peko),7,0,4.710,4.220
1,3:19,2,9,DEN 12,Sam Darnold pass incomplete short right intended for Quincy Enunwa,7,0,4.220,3.280
1,3:16,3,9,DEN 12,Sam Darnold pass incomplete short middle intended for Jermaine Kearse,7,0,3.280,2.630
1,3:12,4,9,DEN 12,Jason Myers 30 yard field goal no good,7,0,2.630,-0.280
1,3:08,1,10,DEN 20,Royce Freeman middle for no gain (tackle by Avery Williamson). Penalty on Steve McLendon: Defensive Holding 5 yards (no play),7,0,0.280,0.610
1,2:42,1,10,DEN 25,Royce Freeman right tackle for 5 yards (tackle by Buster Skrine),7,0,0.610,0.740
1,2:17,2,5,DEN 30,Case Keenum pass complete deep middle to DaeSean Hamilton for 18 yards (tackle by Buster Skrine),7,0,0.740,2.130
1,1:31,1,10,DEN 48,Case Keenum pass complete short right to Emmanuel Sanders for 11 yards (tackle by Marcus Maye),7,0,2.130,2.850
1,0:58,1,10,NYJ 41,Phillip Lindsay right tackle for -3 yards (tackle by Darryl Roberts),7,0,2.850,1.900
1,0:17,2,13,NYJ 44,Case Keenum pass complete short left to Phillip Lindsay for 2 yards (tackle by Marcus Maye). Penalty on Garett Bolles: Offensive Holding 10 yards (no play),7,0,1.900,0.550
2,15:00,2,23,DEN 46,Phillip Lindsay middle for 5 yards (tackle by Frankie Luvu),7,0,0.550,0.560
2,14:42,3,18,NYJ 49,Case Keenum pass complete short left to Tim Patrick for 6 yards (tackle by Parry Nickerson),7,0,0.560,0.400
2,14:06,4,12,NYJ 43,Colby Wadman punts 20 yards out of bounds,7,0,0.400,-0.480
2,13:59,1,10,NYJ 23,Isaiah Crowell left end for 77 yards touchdown,7,6,0.480,7.000
2,13:47,,,DEN 15,Jason Myers kicks extra point good,7,7,0.000,0.000
2,13:47,,,NYJ 35,Jason Myers kicks off 65 yards touchback,7,7,0.000,-0.610
2,13:47,1,10,DEN 25,Case Keenum pass complete short right to Jeff Heuerman for 14 yards (tackle by Darron Lee),7,7,0.610,1.530
2,13:04,1,10,DEN 39,Case Keenum pass incomplete short right intended for Jeff Heuerman,7,7,1.530,0.990
2,13:01,2,10,DEN 39,Phillip Lindsay right tackle for 2 yards (tackle by Leonard Williams and Henry Anderson),7,7,0.990,0.560
2,12:19,3,8,DEN 41,Case Keenum sacked by Leonard Williams for -9 yards,7,7,0.560,-1.240
2,11:43,4,17,DEN 32,Colby Wadman punts 45 yards fair catch by Andre Roberts,7,7,-1.240,-0.480
2,11:36,1,10,NYJ 23,Bilal Powell left end for 1 yard (tackle by Justin Simmons),7,7,0.480,0.070
2,11:00,2,9,NYJ 24,Sam Darnold pass incomplete short right intended for Robby Anderson (defended by Derek Wolfe),7,7,0.070,-0.630
2,10:57,3,9,NYJ 24,Sam Darnold pass complete deep left to Robby Anderson for 76 yards touchdown,7,13,-0.630,7.000
2,10:46,,,DEN 15,Jason Myers kicks extra point good,7,14,0.000,0.000
2,10:46,,,NYJ 35,Jason Myers kicks off 65 yards touchback,7,14,0.000,-0.610
2,10:46,1,10,DEN 25,Case Keenum pass incomplete deep right intended for Emmanuel Sanders (defended by Morris Claiborne),7,14,0.610,0.060
2,10:41,2,10,DEN 25,Royce Freeman middle for -2 yards (tackle by Avery Williamson),7,14,0.060,-0.890
2,9:59,3,12,DEN 23,Case Keenum sacked by Marcus Maye and Leonard Williams for -6 yards. Case Keenum fumbles (forced by Marcus Maye) recovered by Case Keenum at DEN-17,7,14,-0.890,-2.320
2,9:17,4,18,DEN 17,Colby Wadman punts 49 yards returned by Andre Roberts for 7 yards (tackle by Keishawn Bierria),7,14,-2.320,-1.660
2,9:06,1,10,NYJ 41,Isaiah Crowell right guard for 3 yards (tackle by Justin Simmons),7,14,1.660,1.530
2,8:24,2,7,NYJ 44,Sam Darnold pass incomplete short right intended for Eric Tomlinson,7,14,1.530,0.830
2,8:16,3,7,NYJ 44,Sam Darnold pass incomplete short middle intended for Jermaine Kearse (defended by Chris Harris),7,14,0.830,-0.460
2,8:12,4,7,NYJ 44,Lac Edwards punts 43 yards returned by Adam Jones for 1 yard (tackle by Trenton Cannon),7,14,-0.460,0.280
2,8:02,1,10,DEN 14,Phillip Lindsay left end for -1 yards (tackle by Morris Claiborne),7,14,-0.280,-0.850
2,7:23,2,11,DEN 13,Phillip Lindsay right end for 9 yards (tackle by Darryl Roberts),7,14,-0.850,-0.440
2,7:01,3,2,DEN 22,Case Keenum pass complete short right to Emmanuel Sanders for 5 yards (tackle by Darryl Roberts),7,14,-0.440,0.740
2,6:24,1,10,DEN 27,Case Keenum pass incomplete short left intended for Royce Freeman,7,14,0.740,0.200
2,6:18,2,10,DEN 27,Case Keenum pass complete short left to Demaryius Thomas for 11 yards (tackle by Morris Claiborne),7,14,0.200,1.470
2,5:50,1,10,DEN 38,Case Keenum pass complete deep right to Demaryius Thomas for 31 yards (tackle by Marcus Maye),7,14,1.470,3.510
2,5:02,1,10,NYJ 31,Case Keenum pass complete short middle to DaeSean Hamilton for 24 yards (tackle by Parry Nickerson),7,14,3.510,5.600
2,4:33,1,7,NYJ 7,Case Keenum pass incomplete short right intended for Jeff Heuerman,7,14,5.600,4.760
2,4:29,2,7,NYJ 7,Royce Freeman left end for 2 yards (tackle by Avery Williamson and Marcus Maye). Penalty on Courtland Sutton: Illegal Shift 5 yards (no play),7,14,4.760,3.860
2,4:10,2,12,NYJ 12,Case Keenum pass incomplete short right intended for Phillip Lindsay,7,14,3.860,3.100
2,4:05,3,12,NYJ 12,Case Keenum pass incomplete short left intended for Courtland Sutton,7,14,3.100,2.630
2,4:01,4,12,NYJ 12,Brandon McManus 30 yard field goal good,10,14,2.630,3.000
2,3:58,,,DEN 35,Brandon McManus kicks off 62 yards returned by Andre Roberts for 15 yards (tackle by Devontae Booker). Penalty on Devontae Booker: Illegal Formation (Offsetting) Penalty on Christopher Herndon: Illegal Block Above the Waist (Offsetting) (no play),10,14,0.000,0.000
2,3:54,,,DEN 35,Brandon McManus kicks off 65 yards touchback,10,14,0.000,-0.610
2,3:54,1,10,NYJ 25,Isaiah Crowell right guard for 5 yards (tackle by Isaac Yiadom and Von Miller),10,14,0.610,0.740
2,3:17,2,5,NYJ 30,Isaiah Crowell middle for 4 yards (tackle by Brandon Marshall),10,14,0.740,0.560
2,2:41,3,1,NYJ 34,Isaiah Crowell middle for 2 yards (tackle by Justin Simmons and Brandon Marshall),10,14,0.560,1.330
2,2:01,1,10,NYJ 36,Bilal Powell right tackle for 9 yards (tackle by Isaac Yiadom),10,14,1.330,2.010
2,1:55,2,1,NYJ 45,Sam Darnold pass incomplete short middle intended for Quincy Enunwa,10,14,2.010,1.290
2,1:52,3,1,NYJ 45,Sam Darnold middle for 3 yards (tackle by Shelby Harris),10,14,1.290,2.130
2,1:31,1,10,NYJ 48,Bilal Powell left tackle for 8 yards (tackle by Brandon Marshall). Penalty on DEN: Defensive Too Many Men on Field 5 yards (no play),10,14,2.130,2.860
2,1:29,1,5,DEN 47,Sam Darnold pass complete short right to Eric Tomlinson for 12 yards (tackle by Todd Davis),10,14,2.860,3.250
2,1:19,,,,Timeout #1 by New York Jets,10,14,,
