Quarter,Time,Down,ToGo,Location,Detail,IND,NYJ,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,CLT 25,Andrew Luck pass incomplete short right intended for Chester Rogers,0,0,0.610,0.060
1,14:55,2,10,CLT 25,Andrew Luck pass incomplete short left intended for Marlon Mack is intercepted by Morris Claiborne at IND-17 and returned for 17 yards touchdown,0,6,0.060,-7.000
1,,,,,Jason Myers kicks extra point good,0,7,0.000,0.000
1,14:48,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,7,0.000,-0.610
1,14:48,1,10,CLT 25,Marlon Mack middle for 2 yards (tackle by Mike Pennel),0,7,0.610,0.330
1,14:15,2,8,CLT 27,Andrew Luck pass incomplete short right intended for Ryan Grant (defended by Parry Nickerson),0,7,0.330,-0.360
1,14:11,3,8,CLT 27,Andrew Luck pass complete short left to Eric Ebron for 15 yards (tackle by Jamal Adams),0,7,-0.360,1.730
1,13:32,1,10,CLT 42,Andrew Luck pass complete deep left to Mo Alie-Cox for 34 yards,0,7,1.730,3.970
1,12:52,1,10,NYJ 24,Zach Pascal left end for -4 yards (tackle by Jordan Jenkins). Penalty on Ryan Kelly: Illegal Block Above the Waist 10 yards (no play),0,7,3.970,3.310
1,12:23,1,20,NYJ 34,Andrew Luck pass complete deep middle to Marcus Johnson for 34 yards touchdown,6,7,3.310,7.000
1,12:16,,,NYJ 15,Adam Vinatieri kicks extra point good,7,7,0.000,0.000
1,12:16,,,CLT 35,Rigoberto Sanchez kicks off 64 yards returned by Andre Roberts for 18 yards (tackle by George Odum),7,7,0.000,-0.150
1,12:12,1,10,NYJ 19,Bilal Powell right guard for 2 yards (tackle by Darius Leonard and Kemoko Turay),7,7,0.150,-0.060
1,11:37,2,8,NYJ 21,Bilal Powell middle for 9 yards (tackle by Darius Leonard),7,7,-0.060,0.940
1,11:02,1,10,NYJ 30,Sam Darnold pass complete short right to Jermaine Kearse for 8 yards,7,7,0.940,1.470
1,10:29,2,2,NYJ 38,Bilal Powell left guard for 6 yards (tackle by Darius Leonard),7,7,1.470,1.860
1,9:50,1,10,NYJ 44,Bilal Powell left tackle for 1 yard (tackle by Mike Mitchell),7,7,1.860,1.450
1,9:16,2,9,NYJ 45,Sam Darnold pass complete deep left to Christopher Herndon for 24 yards (tackle by Malik Hooker),7,7,1.450,3.510
1,8:33,1,10,CLT 31,Quincy Enunwa right end for no gain (tackle by Nate Hairston),7,7,3.510,2.970
1,7:56,2,10,CLT 31,Sam Darnold pass complete short left to Isaiah Crowell for 7 yards (tackle by Anthony Walker and Matthew Adams),7,7,2.970,3.200
1,7:12,3,3,CLT 24,Sam Darnold pass complete short middle to Neal Sterling for 7 yards (tackle by Quincy Wilson and Darius Leonard),7,7,3.200,4.440
1,6:35,1,10,CLT 17,Sam Darnold pass complete short right to Neal Sterling for 6 yards (tackle by Mike Mitchell and Carroll Phillips),7,7,4.440,4.890
1,5:56,2,4,CLT 11,Isaiah Crowell right tackle for 2 yards (tackle by Carroll Phillips and Al Woods),7,7,4.890,4.570
1,5:16,3,2,CLT 9,Isaiah Crowell right guard for -3 yards (tackle by Matthew Adams and Al Woods),7,7,4.570,2.680
1,4:35,4,5,CLT 12,Jason Myers 30 yard field goal good,7,10,2.680,3.000
1,4:33,,,NYJ 35,Jason Myers kicks off 63 yards returned by Zach Pascal for 27 yards (tackle by Doug Middleton),7,10,0.000,-0.870
1,4:29,1,10,CLT 29,Penalty on Anthony Castonzo: False Start 5 yards (no play),7,10,0.870,0.540
1,4:29,1,15,CLT 24,Andrew Luck pass complete short right to Robert Turbin for 3 yards (tackle by Darron Lee),7,10,0.540,0.060
1,3:49,2,12,CLT 27,Marlon Mack left tackle for 1 yard (tackle by Morris Claiborne and Darron Lee),7,10,0.060,-0.490
1,3:10,3,11,CLT 28,Andrew Luck middle for 3 yards (tackle by Avery Williamson),7,10,-0.490,-1.310
1,2:30,4,8,CLT 31,Rigoberto Sanchez punts 48 yards returned by Andre Roberts for 6 yards (tackle by George Odum),7,10,-1.310,-0.740
1,2:20,1,10,NYJ 27,Isaiah Crowell left end for 1 yard (tackle by Darius Leonard and Mike Mitchell),7,10,0.740,0.330
1,1:46,2,9,NYJ 28,Isaiah Crowell left tackle for 5 yards (tackle by Mike Mitchell),7,10,0.330,0.300
1,1:01,3,4,NYJ 33,Sam Darnold pass incomplete deep left intended for Robby Anderson is intercepted by Malik Hooker at IND-38 and returned for 27 yards,7,10,0.300,-3.250
1,0:47,1,10,NYJ 35,Robert Turbin left guard for 5 yards (tackle by Parry Nickerson),7,10,3.250,3.380
1,0:11,2,5,NYJ 30,Andrew Luck pass incomplete short middle intended for Ryan Grant,7,10,3.380,2.680
1,0:07,3,5,NYJ 30,Andrew Luck pass complete short middle to Marcus Johnson for 18 yards (tackle by Morris Claiborne),7,10,2.680,4.780
2,15:00,1,10,NYJ 12,Penalty on Leonard Williams: Neutral Zone Infraction 5 yards (no play),7,10,4.780,5.930
2,15:00,1,5,NYJ 7,Marlon Mack left guard for 6 yards (tackle by Marcus Maye),7,10,5.930,6.970
2,14:37,1,1,NYJ 1,Marlon Mack middle for -1 yards (tackle by Steve McLendon and Henry Anderson),7,10,6.970,5.720
2,14:02,2,2,NYJ 2,Eric Ebron left tackle for -1 yards (tackle by Brandon Copeland),7,10,5.720,4.720
2,13:32,3,3,NYJ 3,Andrew Luck pass incomplete short middle intended for Nyheim Hines (defended by Avery Williamson),7,10,4.720,3.040
2,13:27,4,3,NYJ 3,Adam Vinatieri 21 yard field goal good,10,10,3.040,3.000
2,13:25,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,10,10,0.000,-0.610
