Quarter,Time,Down,ToGo,Location,Detail,LAC,CLE,EPB,EPA
1,15:00,,,LAC 35,Mike Badgley kicks off 65 yards returned by Jabrill Peppers for 23 yards (tackle by Justin Jackson). Penalty on Orson Charles: Illegal Formation (Declined),0,0,0.000,-0.480
1,14:54,1,10,CLE 23,Baker Mayfield pass complete short middle to David Njoku for 14 yards (tackle by Trevor Williams),0,0,0.480,1.400
1,14:34,1,10,CLE 37,Penalty on Damion Square: Neutral Zone Infraction 5 yards (no play),0,0,1.400,2.130
1,14:18,1,5,CLE 42,Baker Mayfield pass incomplete short right intended for Jarvis Landry,0,0,2.130,1.530
1,14:13,2,5,CLE 42,Carlos Hyde right guard for no gain (tackle by Denzel Perryman and Brandon Mebane),0,0,1.530,0.830
1,13:31,3,5,CLE 42,Baker Mayfield sacked by Rayshawn Jenkins and Corey Liuget for -7 yards,0,0,0.830,-1.040
1,12:54,4,12,CLE 35,Britton Colquitt punts 54 yards returned by Desmond King for 32 yards (tackle by Seth Devalve),0,0,-1.040,-1.800
1,12:46,1,10,LAC 43,Philip Rivers pass complete short right to Melvin Gordon for 4 yards (tackle by Jamie Collins),0,0,1.800,1.790
1,12:06,2,6,LAC 47,Melvin Gordon left tackle for 16 yards (tackle by Damarious Randall),0,0,1.790,3.120
1,11:25,1,10,CLE 37,Keenan Allen left end for 16 yards (tackle by Damarious Randall),0,0,3.120,4.170
1,10:50,1,10,CLE 21,Philip Rivers pass complete short left to Keenan Allen for 17 yards (tackle by Damarious Randall),0,0,4.170,6.280
1,10:20,1,4,CLE 4,Melvin Gordon left end for 4 yards touchdown,6,0,6.280,7.000
1,10:14,,,CLE 15,Mike Badgley kicks extra point good,7,0,0.000,0.000
1,10:14,,,LAC 35,Mike Badgley kicks off 60 yards returned by Antonio Callaway for 18 yards (tackle by Geremy Davis),7,0,0.000,-0.480
1,10:09,1,10,CLE 23,Carlos Hyde right guard for 9 yards (tackle by Derwin James),7,0,0.480,1.150
1,9:33,2,1,CLE 32,Carlos Hyde right tackle for 3 yards (tackle by Derwin James). Penalty on Desmond Harrison: Face Mask (15 Yards) 15 yards,7,0,1.150,-0.470
1,9:08,2,13,CLE 20,Baker Mayfield pass complete short left to Orson Charles for 8 yards (tackle by Uchenna Nwosu),7,0,-0.470,-0.100
1,8:35,3,5,CLE 28,Baker Mayfield pass complete deep left to Duke Johnson for 32 yards (tackle by Jahleel Addae),7,0,-0.100,2.920
1,8:08,1,10,LAC 40,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,7,0,2.920,2.370
1,8:01,2,10,LAC 40,Carlos Hyde right guard for 2 yards (tackle by Denzel Perryman and Isaac Rochell),7,0,2.370,1.950
1,7:22,3,8,LAC 38,Baker Mayfield pass incomplete short right intended for Antonio Callaway,7,0,1.950,0.720
1,7:15,4,8,LAC 38,Britton Colquitt punts 34 yards,7,0,0.720,0.380
1,7:04,1,10,LAC 4,Melvin Gordon left guard for 4 yards (tackle by Emmanuel Ogbah),7,0,-0.380,-0.490
1,6:26,2,6,LAC 8,Philip Rivers pass incomplete short right intended for Melvin Gordon,7,0,-0.490,-0.950
1,6:23,3,6,LAC 8,Philip Rivers pass incomplete short left intended for Mike Williams,7,0,-0.950,-2.490
1,6:18,4,6,LAC 8,Donnie Jones punts 41 yards returned by Jabrill Peppers for 14 yards (tackle by Nick Dzubnar). Penalty on Damion Ratley: Offensive Holding 10 yards,7,0,-2.490,-1.990
1,6:10,1,10,CLE 46,Baker Mayfield pass incomplete,7,0,1.990,1.450
1,6:03,2,10,CLE 46,Carlos Hyde left guard for 3 yards (tackle by Jahleel Addae),7,0,1.450,1.160
1,5:24,3,7,CLE 49,Baker Mayfield left end for 6 yards (tackle by Rayshawn Jenkins),7,0,1.160,0.270
1,4:55,4,1,LAC 45,Baker Mayfield right guard for 2 yards (tackle by Jahleel Addae),7,0,0.270,2.720
1,4:16,1,10,LAC 43,Carlos Hyde left guard for no gain (tackle by Corey Liuget),7,0,2.720,2.180
1,3:40,2,10,LAC 43,Baker Mayfield pass complete short middle to David Njoku for 4 yards (tackle by Denzel Perryman),7,0,2.180,2.010
1,3:00,3,6,LAC 39,Baker Mayfield sacked by Isaac Rochell for -7 yards. Penalty on Jahleel Addae: Illegal Use of Hands 5 yards (no play),7,0,2.010,3.310
1,2:29,1,10,LAC 34,Baker Mayfield sacked by Damion Square and Derwin James for -2 yards,7,0,3.310,2.500
1,1:53,2,12,LAC 36,Baker Mayfield sacked by Damion Square for -4 yards,7,0,2.500,1.290
1,1:07,3,16,LAC 40,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,7,0,1.290,0.590
