Quarter,Time,Down,ToGo,Location,Detail,CLE,TAM,EPB,EPA
1,15:00,,,TAM 35,Chandler Catanzaro kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,CLE 25,Baker Mayfield pass complete short left to Jarvis Landry for 6 yards,0,0,0.610,0.870
1,14:30,2,4,CLE 31,Baker Mayfield pass complete short right to Jarvis Landry for 5 yards (tackle by Kwon Alexander),0,0,0.870,1.330
1,13:52,1,10,CLE 36,Nick Chubb right tackle for 8 yards (tackle by Justin Evans and Kwon Alexander),0,0,1.330,1.870
1,13:16,2,2,CLE 44,Nick Chubb left tackle for no gain (tackle by Carlton Davis),0,0,1.870,1.160
1,12:34,3,2,CLE 44,Baker Mayfield pass complete short right to Duke Johnson for 5 yards (tackle by Kwon Alexander),0,0,1.160,2.190
1,11:57,1,10,CLE 49,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,0,0,2.190,1.650
1,11:52,2,10,CLE 49,Nick Chubb middle for 2 yards (tackle by Jason Pierre-Paul),0,0,1.650,1.220
1,11:13,3,8,TAM 49,Baker Mayfield sacked by Jason Pierre-Paul for -7 yards,0,0,1.220,-0.460
1,10:40,4,15,CLE 44,Britton Colquitt punts 55 yards,0,0,-0.460,0.380
1,10:30,1,10,TAM 1,Peyton Barber middle for no gain (tackle by Christian Kirksey),0,0,-0.380,-0.780
1,9:47,2,10,TAM 1,Penalty on Antony Auclair: False Start (no play),0,0,-0.780,-0.780
1,9:22,2,10,TAM 1,Peyton Barber for -1 yards safety,2,0,-0.780,-2.000
1,9:18,,,TAM 20,Bryan Anger kicks off 73 yards returned by Jabrill Peppers for 12 yards (tackle by Ryan Smith),2,0,0.000,-0.150
1,9:13,1,10,CLE 19,Baker Mayfield pass complete short left to Duke Johnson for 14 yards (tackle by Lavonte David). Penalty on CLE: Illegal Shift 5 yards (no play),2,0,0.150,-0.390
1,8:58,1,15,CLE 14,Nick Chubb right tackle for 2 yards (tackle by Adarius Taylor and Kwon Alexander),2,0,-0.390,-0.870
1,8:15,2,13,CLE 16,Baker Mayfield pass incomplete short right intended for Nick Chubb (defended by Kwon Alexander),2,0,-0.870,-1.590
