Quarter,Time,Down,ToGo,Location,Detail,NYJ,CHI,EPB,EPA
1,15:00,,,CHI 35,Cody Parkey kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,NYJ 25,Isaiah Crowell right tackle for 3 yards (tackle by Eddie Goldman and Akiem Hicks),0,0,0.610,0.470
1,14:21,2,7,NYJ 28,Penalty on Neal Sterling: False Start 5 yards (no play),0,0,0.470,-0.210
1,13:57,2,12,NYJ 23,Isaiah Crowell left tackle for 3 yards (tackle by Danny Trevathan),0,0,-0.210,-0.490
1,13:16,3,9,NYJ 26,Sam Darnold pass incomplete short right intended for Jermaine Kearse (defended by Bryce Callahan),0,0,-0.490,-1.630
1,13:10,4,9,NYJ 26,Lac Edwards punts 44 yards out of bounds,0,0,-1.630,-0.940
1,13:02,1,10,CHI 30,Mitchell Trubisky for 13 yards,0,0,0.940,1.800
1,12:26,1,10,CHI 43,Tarik Cohen left tackle for 9 yards (tackle by Jamal Adams),0,0,1.800,2.470
1,11:46,2,1,NYJ 48,Penalty on Steve McLendon: Neutral Zone Infraction 5 yards (no play),0,0,2.470,2.720
1,11:25,1,10,NYJ 43,Jordan Howard right tackle for 4 yards (tackle by Steve McLendon and Darron Lee),0,0,2.720,2.720
1,10:43,2,6,NYJ 39,Mitchell Trubisky pass complete short left to Taylor Gabriel for 11 yards (tackle by Morris Claiborne),0,0,2.720,3.710
1,10:08,1,10,NYJ 28,Anthony Miller right end for 7 yards (tackle by Marcus Maye),0,0,3.710,4.110
1,9:32,2,3,NYJ 21,Jordan Howard right guard for no gain (tackle by Mike Pennel and Darron Lee),0,0,4.110,3.400
1,8:47,3,3,NYJ 21,Mitchell Trubisky sacked by Brandon Copeland for -1 yards,0,0,3.400,2.070
1,8:03,4,4,NYJ 22,Cody Parkey 40 yard field goal no good,0,0,2.070,-0.940
1,7:59,1,10,NYJ 30,Penalty on Christopher Herndon: False Start 5 yards (no play),0,0,0.940,0.610
1,7:59,1,15,NYJ 25,Isaiah Crowell right tackle for 4 yards (tackle by Danny Trevathan),0,0,0.610,0.260
1,7:25,2,11,NYJ 29,Isaiah Crowell left end for 1 yard (tackle by Aaron Lynch and Eddie Goldman),0,0,0.260,-0.300
1,6:39,3,10,NYJ 30,Sam Darnold pass incomplete short middle intended for Christopher Herndon,0,0,-0.300,-1.370
1,6:33,4,10,NYJ 30,Lac Edwards punts 55 yards returned by Tarik Cohen for 10 yards (tackle by Eric Tomlinson). Penalty on Deon Bush: Illegal Block Above the Waist 10 yards,0,0,-1.370,0.350
1,6:20,1,10,CHI 12,Mitchell Trubisky pass complete short left to Taylor Gabriel for 18 yards (tackle by Marcus Maye),0,0,-0.350,0.940
1,5:38,1,10,CHI 30,Mitchell Trubisky pass incomplete short left intended for Trey Burton,0,0,0.940,0.390
1,5:35,2,10,CHI 30,Mitchell Trubisky pass complete short middle to Tarik Cohen for 70 yards touchdown,0,6,0.390,7.000
1,5:24,,,NYJ 15,Cody Parkey kicks extra point good,0,7,0.000,0.000
1,5:24,,,CHI 35,Cody Parkey kicks off 65 yards touchback,0,7,0.000,-0.610
1,5:24,1,10,NYJ 25,Sam Darnold pass complete short left to Jermaine Kearse for 4 yards (tackle by Bryce Callahan),0,7,0.610,0.600
1,4:56,2,6,NYJ 29,Sam Darnold right end for 2 yards (tackle by Leonard Floyd),0,7,0.600,0.170
1,4:18,3,4,NYJ 31,Penalty on Brandon Shell: False Start 5 yards (no play),0,7,0.170,-0.490
1,3:53,3,9,NYJ 26,Sam Darnold pass complete short middle to Jermaine Kearse for 19 yards (tackle by Bryce Callahan),0,7,-0.490,1.930
1,3:15,1,10,NYJ 45,Isaiah Crowell right guard for 2 yards (tackle by Isaiah Irving),0,7,1.930,1.650
1,2:38,2,8,NYJ 47,Isaiah Crowell right guard for 7 yards (tackle by Bilal Nichols),0,7,1.650,1.880
1,1:56,3,1,CHI 46,Isaiah Crowell right tackle for no gain (tackle by Akiem Hicks),0,7,1.880,0.200
1,1:12,,,,Timeout #1 by New York Jets,0,7,,
