Quarter,Time,Down,ToGo,Location,Detail,KAN,CLE,EPB,EPA
1,15:00,,,KAN 35,Harrison Butker kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,CLE 25,Baker Mayfield pass incomplete deep right intended for Damion Ratley,0,0,0.610,0.060
1,14:55,2,10,CLE 25,Baker Mayfield pass complete deep right to Jarvis Landry for 17 yards (tackle by Kendall Fuller),0,0,0.060,1.730
1,14:25,1,10,CLE 42,Nick Chubb right guard for 4 yards (tackle by Breeland Speaks),0,0,1.730,1.730
1,13:48,2,6,CLE 46,Nick Chubb left tackle for no gain (tackle by Allen Bailey),0,0,1.730,1.030
1,13:10,3,6,CLE 46,Baker Mayfield pass complete short right to Jarvis Landry for 5 yards (tackle by Anthony Hitchens),0,0,1.030,0.000
1,12:33,4,1,KAN 49,Nick Chubb right guard for 1 yard (tackle by Anthony Hitchens),0,0,0.000,2.390
1,11:52,1,10,KAN 48,Baker Mayfield pass incomplete deep middle intended for Jarvis Landry,0,0,2.390,1.850
1,11:47,2,10,KAN 48,Nick Chubb right guard for 4 yards (tackle by Allen Bailey and Ben Niemann),0,0,1.850,1.690
1,11:08,3,6,KAN 44,Baker Mayfield pass incomplete short left intended for Damion Ratley,0,0,1.690,0.330
1,11:05,4,6,KAN 44,Britton Colquitt punts 39 yards,0,0,0.330,0.380
1,10:57,1,10,KAN 5,Patrick Mahomes pass incomplete short right intended for Travis Kelce,0,0,-0.380,-0.780
1,10:52,2,10,KAN 5,Patrick Mahomes pass incomplete short right intended for Sammy Watkins. Penalty on T.J. Carrie: Defensive Pass Interference 6 yards (no play),0,0,-0.780,-0.370
1,10:48,1,10,KAN 11,Patrick Mahomes pass complete short right to Sammy Watkins for 5 yards (tackle by T.J. Carrie),0,0,-0.370,-0.300
1,10:14,2,5,KAN 16,Patrick Mahomes pass complete short right to Tyreek Hill for 8 yards (tackle by Denzel Ward),0,0,-0.300,0.540
1,9:37,1,10,KAN 24,Patrick Mahomes left end for 15 yards (tackle by Christian Kirksey). Penalty on Sammy Watkins: Offensive Holding 10 yards,0,0,0.540,1.270
1,9:12,1,5,KAN 29,Patrick Mahomes pass complete deep left to Travis Kelce for 21 yards (tackle by E.J. Gaines),0,0,1.270,2.260
1,8:29,1,10,50,Patrick Mahomes pass incomplete short right intended for Chris Conley,0,0,2.260,1.710
1,8:25,2,10,50,Patrick Mahomes pass complete short left to Kareem Hunt for 50 yards touchdown,6,0,1.710,7.000
1,8:14,,,CLE 15,Harrison Butker kicks extra point good,7,0,0.000,0.000
1,8:14,,,KAN 35,Harrison Butker kicks off 65 yards touchback,7,0,0.000,-0.610
1,8:14,1,10,CLE 25,Breshad Perriman left end for 7 yards (tackle by Reggie Ragland),7,0,0.610,1.010
1,7:33,2,3,CLE 32,Breshad Perriman left end for 2 yards (tackle by Steven Nelson),7,0,1.010,0.560
1,6:57,3,1,CLE 34,Baker Mayfield pass complete short right to Duke Johnson for 7 yards (tackle by Reggie Ragland),7,0,0.560,1.660
1,6:26,1,10,CLE 41,Nick Chubb left tackle for 4 yards (tackle by Breeland Speaks),7,0,1.660,1.660
1,5:46,2,6,CLE 45,Baker Mayfield pass complete short left to Antonio Callaway for 9 yards (tackle by Steven Nelson),7,0,1.660,2.520
1,5:07,1,10,KAN 46,Baker Mayfield pass incomplete deep left intended for Breshad Perriman,7,0,2.520,1.980
