Quarter,Time,Down,ToGo,Location,Detail,NYJ,MIA,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,MIA 25,Brock Osweiler pass complete deep right to Danny Amendola for 26 yards (tackle by Morris Claiborne),0,0,0.610,2.320
1,14:30,1,10,NYJ 49,Frank Gore middle for 5 yards (tackle by Buster Skrine and Leonard Williams),0,0,2.320,2.460
1,13:56,2,5,NYJ 44,Brock Osweiler pass incomplete short left intended for Danny Amendola (defended by Buster Skrine),0,0,2.460,1.750
1,13:50,3,5,NYJ 44,Brock Osweiler sacked by Avery Williamson for -8 yards,0,0,1.750,-0.190
1,13:08,4,13,MIA 48,Matt Haack punts 37 yards fair catch by Andre Roberts,0,0,-0.190,0.220
1,13:01,1,10,NYJ 15,Sam Darnold pass complete short middle to Eric Tomlinson for 6 yards (tackle by T.J. McDonald),0,0,-0.220,0.210
1,12:25,2,4,NYJ 21,Sam Darnold pass complete short right to Jermaine Kearse for 3 yards (tackle by Xavien Howard),0,0,0.210,-0.270
1,11:41,3,1,NYJ 24,Isaiah Crowell left tackle for -1 yards (tackle by T.J. McDonald),0,0,-0.270,-1.830
1,10:59,4,2,NYJ 23,Lac Edwards punts 42 yards fair catch by Jakeem Grant,0,0,-1.830,-1.270
1,10:52,1,10,MIA 35,Frank Gore right guard for 1 yard (tackle by Steve McLendon and Jordan Jenkins),0,0,1.270,0.860
1,10:22,2,9,MIA 36,Brock Osweiler pass incomplete deep right intended for Danny Amendola,0,0,0.860,0.170
1,10:16,3,9,MIA 36,Brock Osweiler pass complete short middle to DeVante Parker for 8 yards (tackle by Buster Skrine),0,0,0.170,-0.460
1,9:37,4,1,MIA 44,Frank Gore right guard for 2 yards (tackle by Avery Williamson and Morris Claiborne),0,0,-0.460,1.990
1,9:00,1,10,MIA 46,Frank Gore right tackle for 6 yards (tackle by Buster Skrine),0,0,1.990,2.260
1,8:26,2,4,NYJ 48,Brock Osweiler pass complete short left to Kenyan Drake for 3 yards (tackle by Avery Williamson),0,0,2.260,1.950
1,7:47,3,1,NYJ 45,Frank Gore right tackle for -3 yards (tackle by Leonard Williams),0,0,1.950,0.070
1,7:05,4,4,NYJ 48,Matt Haack punts 36 yards fair catch by Andre Roberts,0,0,0.070,0.350
1,6:57,1,10,NYJ 12,Isaiah Crowell left tackle for 3 yards (tackle by Andre Branch),0,0,-0.350,-0.500
1,6:23,2,7,NYJ 15,Robby Anderson right end for 1 yard (tackle by Jerome Baker),0,0,-0.500,-0.950
1,5:44,,,,Timeout #1 by New York Jets,0,0,,
1,5:44,3,6,NYJ 16,Sam Darnold pass complete short right to Christopher Herndon for 4 yards (tackle by Kiko Alonso),0,0,-0.950,-2.030
1,5:00,4,2,NYJ 20,Lac Edwards punts 60 yards returned by Jakeem Grant for 19 yards (tackle by Rontez Miles),0,0,-2.030,-1.530
1,4:47,1,10,MIA 39,Frank Gore right guard for 2 yards (tackle by Henry Anderson and Darron Lee),0,0,1.530,1.260
1,4:16,2,8,MIA 41,Brock Osweiler pass complete short left to DeVante Parker for 10 yards (tackle by Avery Williamson). Penalty on Danny Amendola: Offensive Pass Interference 10 yards (no play),0,0,1.260,-0.090
1,3:53,2,18,MIA 31,Frank Gore left guard for 5 yards (tackle by Henry Anderson and Brandon Copeland),0,0,-0.090,-0.100
1,3:15,3,13,MIA 36,Brock Osweiler pass incomplete,0,0,-0.100,-0.980
1,3:08,4,13,MIA 36,Matt Haack punts 48 yards fair catch by Andre Roberts,0,0,-0.980,0.140
1,2:59,1,10,NYJ 16,Sam Darnold pass complete deep left to Christopher Herndon for 28 yards (tackle by Minkah Fitzpatrick and Kiko Alonso),0,0,-0.140,1.860
1,2:20,1,10,NYJ 44,Isaiah Crowell middle for 3 yards (tackle by Davon Godchaux),0,0,1.860,1.720
1,1:44,2,7,NYJ 47,Isaiah Crowell right end for 9 yards (tackle by Reshad Jones),0,0,1.720,2.650
1,1:04,1,10,MIA 44,Sam Darnold pass incomplete deep right intended for Deontay Burnett is intercepted by Kiko Alonso at MIA-28 and returned for 14 yards. Penalty on Brandon Shell: Unnecessary Roughness 15 yards,0,0,2.650,-2.720
1,0:54,1,10,NYJ 43,Frank Gore middle for 8 yards (tackle by Leonard Williams and Jamal Adams),0,0,2.720,3.260
1,0:11,2,2,NYJ 35,Brock Osweiler pass complete short right to Kalen Ballage for 9 yards (tackle by Darron Lee),0,0,3.260,3.840
2,15:00,1,10,NYJ 26,Kalen Ballage middle for 13 yards (tackle by Jamal Adams and Avery Williamson). Penalty on Ted Larsen: Offensive Holding 10 yards (no play),0,0,3.840,3.180
2,14:39,1,20,NYJ 36,Kenyan Drake left guard for 2 yards (tackle by Avery Williamson),0,0,3.180,2.220
2,14:05,2,18,NYJ 34,Brock Osweiler pass complete short right to Danny Amendola for 4 yards (tackle by Buster Skrine),0,0,2.220,2.080
2,13:31,3,14,NYJ 30,Kenyan Drake right guard for 5 yards (tackle by Avery Williamson),0,0,2.080,1.800
2,12:44,4,9,NYJ 25,Jason Sanders 43 yard field goal good,0,3,1.800,3.000
2,12:39,,,MIA 35,Jason Sanders kicks off 65 yards touchback,0,3,0.000,-0.610
2,12:39,1,10,NYJ 25,Elijah McGuire right tackle for 6 yards (tackle by Jerome Baker),0,3,0.610,0.870
2,12:07,2,4,NYJ 31,Penalty on Brian Winters: False Start 5 yards (no play),0,3,0.870,0.200
2,11:45,2,9,NYJ 26,Sam Darnold sacked by Cameron Wake for -10 yards,0,3,0.200,-2.140
2,11:01,3,19,NYJ 16,Elijah McGuire middle for 14 yards (tackle by Minkah Fitzpatrick and Xavien Howard),0,3,-2.140,-1.370
2,10:14,4,5,NYJ 30,Lac Edwards punts 55 yards returned by Jakeem Grant for 12 yards (tackle by Eric Tomlinson),0,3,-1.370,-0.740
2,10:03,1,10,MIA 27,Brock Osweiler pass incomplete short right intended for DeVante Parker,0,3,0.740,0.200
2,9:58,2,10,MIA 27,Frank Gore middle for 3 yards (tackle by Tarell Basham and Darron Lee),0,3,0.200,-0.100
2,9:20,3,7,MIA 30,Brock Osweiler middle for 7 yards (tackle by Darron Lee and Jordan Jenkins),0,3,-0.100,-0.980
,,,,,NYJ challenged the first down ruling and the play was overturned. Brock Osweiler middle for 6 yards (tackle by Darron Lee and Jordan Jenkins),,,,
2,9:15,4,1,MIA 36,Matt Haack punts 40 yards fair catch by Andre Roberts. Penalty on Mike Pennel: Illegal Block Above the Waist 10 yards,0,3,-0.980,0.280
2,8:56,1,10,NYJ 14,Sam Darnold pass incomplete short left intended for Isaiah Crowell,0,3,-0.280,-0.750
2,8:50,2,10,NYJ 14,Isaiah Crowell left end for 2 yards (tackle by Minkah Fitzpatrick),0,3,-0.750,-1.160
2,8:07,3,8,NYJ 16,Sam Darnold pass complete short right to Robby Anderson for 3 yards (tackle by Bobby McCain),0,3,-1.160,-2.140
